headword,pronunciation
demografka,ˌ d ɛ̃ m ɔ ˈ ɡ r a f k a
demokracja,ˌ d ɛ̃ m ɔ ˈ k r a t s̑ʲ j a
demokrata,ˌ d ɛ̃ m ɔ ˈ k r a t a
demokratycznie,ˌ d ɛ̃ m ɔ k r a ˈ t ɨ t ʃ̑ʲ ɲ ɛ
demokratyczny,ˌ d ɛ̃ m ɔ k r a ˈ t ɨ t ʃ̑ n ɨ
demokratyzacja,ˌ d ɛ̃ m ɔ k r a t ɨ ˈ z a t s̑ʲ j a
demokratyzować,ˌ d ɛ̃ m ɔ k r a t ɨ ˈ z ɔ v a ʨ̑
demolka,d ɛ̃ ˈ m ɔ l k a
demolowanie,ˌ d ɛ̃ m ɔ l ɔ ˈ v ã ɲ ɛ
demolować,ˌ d ɛ̃ m ɔ ˈ l ɔ v a ʨ̑
demon,ˈ d ɛ̃ m ɔ̃ n
demoniczny,ˌ d ɛ̃ m ɔ̃ ˈ ɲ i t ʃ̑ n ɨ
demonizowanie,ˌ d ɛ̃ m ɔ̃ ɲ i z ɔ ˈ v ã ɲ ɛ
demonizować,ˌ d ɛ̃ m ɔ̃ ɲ i ˈ z ɔ v a ʨ̑
demonolatria,ˌ d ɛ̃ m ɔ̃ n ɔ ˈ l a t rʲ j a
demonologia,ˌ d ɛ̃ m ɔ̃ n ɔ ˈ l ɔ ɟ j a
demonstracja,ˌ d ɛ̃ m ɔ̃ w̃ ˈ s t r a t s̑ʲ j a
demonstracyjnie,ˌ d ɛ̃ m ɔ̃ w̃ s t r a ˈ t s̑ ɨ j ɲ ɛ
demonstrant,d ɛ̃ ˈ m ɔ̃ w̃ s t r ã n t
demonstrantka,ˌ d ɛ̃ m ɔ̃ w̃ ˈ s t r ã n t k a
demonstrator,ˌ d ɛ̃ m ɔ̃ w̃ ˈ s t r a t ɔ r
demonstratorka,ˌ d ɛ̃ m ɔ̃ w̃ s t r a ˈ t ɔ r k a
demonstrowanie,ˌ d ɛ̃ m ɔ̃ w̃ s t r ɔ ˈ v ã ɲ ɛ
demonstrować,ˌ d ɛ̃ m ɔ̃ w̃ ˈ s t r ɔ v a ʨ̑
demontaż,d ɛ̃ ˈ m ɔ̃ n t a ʃ
demontowanie,ˌ d ɛ̃ m ɔ̃ n t ɔ ˈ v ã ɲ ɛ
demontować,ˌ d ɛ̃ m ɔ̃ n ˈ t ɔ v a ʨ̑
demos,ˈ d ɛ̃ m ɔ s
demotyczny,ˌ d ɛ̃ m ɔ ˈ t ɨ t ʃ̑ n ɨ
denar,ˈ d ɛ̃ n a r
denat,ˈ d ɛ̃ n a t
denaturat,ˌ d ɛ̃ n a ˈ t u r a t
denazalizacja,ˌ d ɛ̃ n a z a lʲ i ˈ z a t s̑ʲ j a
dendro-,ˈ d ɛ̃ n d r ɔ
dendrologia,ˌ d ɛ̃ n d r ɔ ˈ l ɔ ɟ j a
denerwowanie,ˌ d ɛ̃ n ɛ r v ɔ ˈ v ã ɲ ɛ
denerwować,ˌ d ɛ̃ n ɛ r ˈ v ɔ v a ʨ̑
denerwujący,ˌ d ɛ̃ n ɛ r v u ˈ j ɔ̃ n t s̑ ɨ
denko,ˈ d ɛ̃ n k ɔ
dennica,d ɛ̃ ɲ ˈː i t s̑ a
dentysta,d ɛ̃ n ˈ t ɨ s t a
dentystka,d ɛ̃ n ˈ t ɨ s t k a
dentystyczny,ˌ d ɛ̃ n t ɨ ˈ s t ɨ t ʃ̑ n ɨ
dentystyka,d ɛ̃ n ˈ t ɨ s t ɨ k a
denuncjacja,ˌ d ɛ̃ n ũ n ˈ t s̑ʲ j a t s̑ʲ j a
denuncjator,ˌ d ɛ̃ n ũ n ˈ t s̑ʲ j a t ɔ r
denuncjowanie,ˌ d ɛ̃ n ũ n t s̑ʲ j ɔ ˈ v ã ɲ ɛ
denuncjować,ˌ d ɛ̃ n ũ n ˈ t s̑ʲ j ɔ v a ʨ̑
depaletyzacja,ˌ d ɛ p a l ɛ t ɨ ˈ z a t s̑ʲ j a
depaletyzator,ˌ d ɛ p a l ɛ t ɨ ˈ z a t ɔ r
depaletyzowanie,ˌ d ɛ p a l ɛ t ɨ z ɔ ˈ v ã ɲ ɛ
depaletyzować,ˌ d ɛ p a l ɛ t ɨ ˈ z ɔ v a ʨ̑
departament,ˌ d ɛ p a r ˈ t ã m ɛ̃ n t
depek,ˈ d ɛ p ɛ k
depilacja,ˌ d ɛ pʲ i ˈ l a t s̑ʲ j a
depilator,ˌ d ɛ pʲ i ˈ l a t ɔ r
deportacja,ˌ d ɛ p ɔ r ˈ t a t s̑ʲ j a
deportowanie,ˌ d ɛ p ɔ r t ɔ ˈ v ã ɲ ɛ
deportować,ˌ d ɛ p ɔ r ˈ t ɔ v a ʨ̑
deprawacja,ˌ d ɛ p r a ˈ v a t s̑ʲ j a
deprecjacja,ˌ d ɛ p r ɛ ˈ t s̑ʲ j a t s̑ʲ j a
deprecjacyjny,ˌ d ɛ p r ɛ t s̑ʲ j a ˈ t s̑ ɨ j n ɨ
deprecjatywny,ˌ d ɛ p r ɛ t s̑ʲ j a ˈ t ɨ v n ɨ
deprecjonowanie,ˌ d ɛ p r ɛ t s̑ʲ j ɔ̃ n ɔ ˈ v ã ɲ ɛ
deprecjonować,ˌ d ɛ p r ɛ t s̑ʲ j ɔ̃ ˈ n ɔ v a ʨ̑
depresja,d ɛ ˈ p r ɛ sʲ j a
deprymowanie,ˌ d ɛ p r ɨ̃ m ɔ ˈ v ã ɲ ɛ
deprymować,ˌ d ɛ p r ɨ̃ ˈ m ɔ v a ʨ̑
deptak,ˈ d ɛ p t a k
deptać,ˈ d ɛ p t a ʨ̑
deputacja,ˌ d ɛ p u ˈ t a t s̑ʲ j a
deputat,d ɛ ˈ p u t a t
deputowanie,ˌ d ɛ p u t ɔ ˈ v ã ɲ ɛ
deputować,ˌ d ɛ p u ˈ t ɔ v a ʨ̑
der,d eː ɐ
deratyzacja,ˌ d ɛ r a t ɨ ˈ z a t s̑ʲ j a
derby,ˈ d ɛ r b ɨ
dereferencja,ˌ d ɛ r ɛ f ɛ ˈ r ɛ̃ n t s̑ʲ j a
derelikt,d ɛ ˈ r ɛ lʲ i k t
dereń,ˈ d ɛ r ɛ̃ ɲ
derka,ˈ d ɛ r k a
derkacz,ˈ d ɛ r k a t ʃ̑
dermato-,d ɛ r ˈ m a t ɔ
dermatolog,ˌ d ɛ r m a ˈ t ɔ l ɔ k
dermatologa,ˌ d ɛ r m a t ɔ ˈ l ɔ ɡ a
dermatologia,ˌ d ɛ r m a t ɔ ˈ l ɔ ɟ j a
dermatoza,ˌ d ɛ r m a ˈ t ɔ z a
dernąć,ˈ d ɛ r n ɔ̃ ɲ ʨ̑
derwisz,ˈ d ɛ r vʲ i ʃ
derywacja,ˌ d ɛ r ɨ ˈ v a t s̑ʲ j a
des,d ɛ s
desa,ˈ d ɛ s a
desakralizacja,ˌ d ɛ s a k r a lʲ i ˈ z a t s̑ʲ j a
desant,ˈ d ɛ s ã n t
descens,ˈ d ɛ s t s̑ ɛ̃ w̃ s
deseczka,d ɛ ˈ s ɛ t ʃ̑ k a
desensytyzacja,ˌ d ɛ s ɛ̃ w̃ s ɨ t ɨ ˈ z a t s̑ʲ j a
deser,ˈ d ɛ s ɛ r
deses,ˈ d ɛ s ɛ s
deska,ˈ d ɛ s k a
deski,ˈ d ɛ sʲ c i
deskorolka,ˌ d ɛ s k ɔ ˈ r ɔ l k a
deskorolkarz,ˌ d ɛ s k ɔ ˈ r ɔ l k a ʃ
desman,ˈ d ɛ s m ã n
desperat,d ɛ s ˈ p ɛ r a t
desperatka,ˌ d ɛ s p ɛ ˈ r a t k a
despot,ˈ d ɛ s p ɔ t
despota,d ɛ s ˈ p ɔ t a
despotka,d ɛ s ˈ p ɔ t k a
despotycznie,ˌ d ɛ s p ɔ ˈ t ɨ t ʃ̑ʲ ɲ ɛ
despotyzm,d ɛ s ˈ p ɔ t ɨ s m̥
destabilizacja,ˌ d ɛ s t a bʲ i lʲ i ˈ z a t s̑ʲ j a
destrukcja,d ɛ ˈ s t r u k t s̑ʲ j a
destrukcyjny,ˌ d ɛ s t r u k ˈ t s̑ ɨ j n ɨ
destylacja,ˌ d ɛ s t ɨ ˈ l a t s̑ʲ j a
destylat,d ɛ ˈ s t ɨ l a t
destynacja,ˌ d ɛ s t ɨ̃ ˈ n a t s̑ʲ j a
desygnat,d ɛ ˈ s ɨ ɡ n a t
deszcz,d ɛ ʃ t ʃ̑
deszczomierz,d ɛ ʃ ˈ t ʃ̑ ɔ̃ mʲ j ɛ ʃ
deszczowy,d ɛ ʃ ˈ t ʃ̑ ɔ v ɨ
deszczyk,ˈ d ɛ ʃ t ʃ̑ ɨ k
deszeret,d ɛ ˈ ʃ ɛ r ɛ t
desztaplowanie,ˌ d ɛ ʃ t a p l ɔ ˈ v ã ɲ ɛ
desztaplować,ˌ d ɛ ʃ t a ˈ p l ɔ v a ʨ̑
detal,ˈ d ɛ t a l
detalista,ˌ d ɛ t a ˈ lʲ i s t a
detekcja,d ɛ ˈ t ɛ k t s̑ʲ j a
detektyw,d ɛ ˈ t ɛ k t ɨ f
deterioracja,ˌ d ɛ t ɛ rʲ j ɔ ˈ r a t s̑ʲ j a
determinant,ˌ d ɛ t ɛ r ˈ mʲ ĩ n ã n t
determinatyw,ˌ d ɛ t ɛ r mʲ ĩ ˈ n a t ɨ f
determinista,ˌ d ɛ t ɛ r mʲ ĩ ˈ ɲ i s t a
detonacja,ˌ d ɛ t ɔ̃ ˈ n a t s̑ʲ j a
detonator,ˌ d ɛ t ɔ̃ ˈ n a t ɔ r
deuter,ˈ d ɛ w t ɛ r
deuterokanoniczny,ˌ d ɛ w t ɛ r ɔ k ã n ɔ̃ ˈ ɲ i t ʃ̑ n ɨ
deuteron,d ɛ w ˈ t ɛ r ɔ̃ n
deuterowy,ˌ d ɛ w t ɛ ˈ r ɔ v ɨ
dewaluacja,ˌ d ɛ v a l u ˈ s u p w s u p a t s̑ʲ j a
dewaluacyjny,ˌ d ɛ v a l u s u p w s u p a ˈ t s̑ ɨ j n ɨ
dewaluowanie,ˌ d ɛ v a l u s u p w s u p ɔ ˈ v ã ɲ ɛ
dewaluować,ˌ d ɛ v a l u ˈ s u p w s u p ɔ v a ʨ̑
dewastacja,ˌ d ɛ v a ˈ s t a t s̑ʲ j a
dewastator,ˌ d ɛ v a ˈ s t a t ɔ r
dewastować,ˌ d ɛ v a ˈ s t ɔ v a ʨ̑
dewizochłonność,ˌ d ɛ vʲ i z ɔ x ˈ w ɔ̃ nː ɔ ɕ ʨ̑
dewizochłonny,ˌ d ɛ vʲ i z ɔ ˈ x w ɔ̃ nː ɨ
dewizy,d ɛ ˈ vʲ i z ɨ
dewizówka,ˌ d ɛ vʲ i ˈ z u f k a
dewocja,d ɛ ˈ v ɔ t s̑ʲ j a
dewocjonalia,ˌ d ɛ v ɔ t s̑ʲ j ɔ̃ ˈ n a lʲ j a
dewon,ˈ d ɛ v ɔ̃ n
dewotka,d ɛ ˈ v ɔ t k a
dewoński,d ɛ ˈ v ɔ̃ j̃ sʲ c i
dezaprobata,ˌ d ɛ z a p r ɔ ˈ b a t a
dezawantaż,ˌ d ɛ z a ˈ v ã n t a ʃ
dezawuować,ˌ d ɛ z a v u ˈ s u p w s u p ɔ v a ʨ̑
dezelować,ˌ d ɛ z ɛ ˈ l ɔ v a ʨ̑
deziluzja,ˌ d ɛ zʲ i ˈ l u zʲ j a
dezinflacja,ˌ d ɛ zʲ ĩ n f ˈ l a t s̑ʲ j a
dezinflacyjny,ˌ d ɛ zʲ ĩ n f l a ˈ t s̑ ɨ j n ɨ
dezintermediacja,ˌ d ɛ zʲ ĩ n t ɛ r m ɛ ˈ dʲ j a t s̑ʲ j a
dezodorant,ˌ d ɛ z ɔ ˈ d ɔ r ã n t
dezodoryzacja,ˌ d ɛ z ɔ d ɔ r ɨ ˈ z a t s̑ʲ j a
dezodoryzowanie,ˌ d ɛ z ɔ d ɔ r ɨ z ɔ ˈ v ã ɲ ɛ
dezodoryzować,ˌ d ɛ z ɔ d ɔ r ɨ ˈ z ɔ v a ʨ̑
dezorientacja,ˌ d ɛ z ɔ rʲ j ɛ̃ n ˈ t a t s̑ʲ j a
dezyderat,ˌ d ɛ z ɨ ˈ d ɛ r a t
dezynfekcja,ˌ d ɛ z ɨ̃ n ˈ f ɛ k t s̑ʲ j a
dezynfekcyjny,ˌ d ɛ z ɨ̃ n f ɛ k ˈ t s̑ ɨ j n ɨ
dezynfekowanie,ˌ d ɛ z ɨ̃ n f ɛ k ɔ ˈ v ã ɲ ɛ
dezynfekować,ˌ d ɛ z ɨ̃ n f ɛ ˈ k ɔ v a ʨ̑
dezynfektor,ˌ d ɛ z ɨ̃ n ˈ f ɛ k t ɔ r
dezynwoltura,ˌ d ɛ z ɨ̃ n v ɔ l ˈ t u r a
deżdż,d ɛ ʃ t ʃ̑
dhakijczyk,d a ˈ c i j t ʃ̑ ɨ k
dhakijka,d a ˈ c i j k a
dhakijski,d a ˈ c i j sʲ c i
diabaz,ˈ dʲ j a b a s
diabelski,dʲ j a ˈ b ɛ l sʲ c i
diabetolog,ˌ dʲ j a b ɛ ˈ t ɔ l ɔ k
diabetologia,ˌ dʲ j a b ɛ t ɔ ˈ l ɔ ɟ j a
diabetologiczny,ˌ dʲ j a b ɛ t ɔ l ɔ ˈ ɟ i t ʃ̑ n ɨ
diabetyk,dʲ j a ˈ b ɛ t ɨ k
diabeł,ˈ dʲ j a b ɛ w
diadem,ˈ dʲ j a d ɛ̃ m
diagnostyczny,ˌ dʲ j a ɡ n ɔ ˈ s t ɨ t ʃ̑ n ɨ
diagnostyka,dʲ j a ˈ ɡ n ɔ s t ɨ k a
diagnoza,dʲ j a ˈ ɡ n ɔ z a
diagnozowanie,ˌ dʲ j a ɡ n ɔ z ɔ ˈ v ã ɲ ɛ
diagnozować,ˌ dʲ j a ɡ n ɔ ˈ z ɔ v a ʨ̑
diagram,ˈ dʲ j a ɡ r ã m
diak,dʲ j a k
diakrytyczny,ˌ dʲ j a k r ɨ ˈ t ɨ t ʃ̑ n ɨ
dialekt,ˈ dʲ j a l ɛ k t
dialektyczny,ˌ dʲ j a l ɛ k ˈ t ɨ t ʃ̑ n ɨ
dializacyjny,ˌ dʲ j a lʲ i z a ˈ t s̑ ɨ j n ɨ
dialog,ˈ dʲ j a l ɔ k
diament,ˈ dʲ j ã m ɛ̃ n t
diamentowy,ˌ dʲ j ã m ɛ̃ n ˈ t ɔ v ɨ
diametralnie,ˌ dʲ j ã m ɛ ˈ t r a lʲ ɲ ɛ
diaskop,ˈ dʲ j a s k ɔ p
diaspora,dʲ j a ˈ s p ɔ r a
diasporyczny,ˌ dʲ j a s p ɔ ˈ r ɨ t ʃ̑ n ɨ
diastema,dʲ j a ˈ s t ɛ̃ m a
diateza,dʲ j a ˈ t ɛ z a
dicho,ˈ dʲ i x ɔ
didaskalia,ˌ dʲ i d a ˈ s k a lʲ j a
diecezja,dʲ j ɛ ˈ t s̑ ɛ zʲ j a
diecezjalny,ˌ dʲ j ɛ t s̑ ɛ ˈ zʲ j a l n ɨ
dielektryk,dʲ j ɛ ˈ l ɛ k t r ɨ k
diesel,ˈ dʲ i z ɛ l
dieta,ˈ dʲ j ɛ t a
dietetyczka,ˌ dʲ j ɛ t ɛ ˈ t ɨ t ʃ̑ k a
dietetyczny,ˌ dʲ j ɛ t ɛ ˈ t ɨ t ʃ̑ n ɨ
dietetyk,dʲ j ɛ ˈ t ɛ t ɨ k
dietetyka,dʲ j ɛ ˈ t ɛ t ɨ k a
difalia,dʲ i ˈ f a lʲ j a
difenbachia,ˌ dʲ i f ɛ̃ n ˈ b a ç j a
diff,dʲ i f
digamma,v
digamma,w
digamma,dʲ i ˈ ɡ ã mː a
digitalizacja,ˌ dʲ i ɟ i t a lʲ i ˈ z a t s̑ʲ j a
digoksyna,ˌ dʲ i ɡ ɔ ˈ k s ɨ̃ n a
dihydralazyna,ˌ dʲ i x ɨ d r a l a ˈ z ɨ̃ n a
diler,ˈ dʲ i l ɛ r
dilijczyk,dʲ i ˈ lʲ i j t ʃ̑ ɨ k
dilijka,dʲ i ˈ lʲ i j k a
dilijski,dʲ i ˈ lʲ i j sʲ c i
dimer,ˈ dʲ ĩ m ɛ r
dinar,ˈ dʲ ĩ n a r
dingo,ˈ dʲ ĩ ŋ ɡ ɔ
dinks,dʲ ĩ ŋ k s
dinozaur,dʲ ĩ ˈ n ɔ z a w r
dintojra,dʲ ĩ n ˈ t ɔ j r a
dioda,ˈ dʲ j ɔ d a
diorama,dʲ j ɔ ˈ r ã m a
dip,dʲ i p
diplodok,dʲ i ˈ p l ɔ d ɔ k
dipterologia,ˌ dʲ i p t ɛ r ɔ ˈ l ɔ ɟ j a
dirka,ˈ dʲ i r k a
dis,dʲ i s
dis-moll,ˈ dʲ i s m ɔ l
discman,ˈ dʲ i s k m ɛ̃ n
disis,ˈ dʲ i sʲ i s
disulfoton,ˌ dʲ i s u l ˈ f ɔ t ɔ̃ n
diuna,ˈ dʲ j ũ n a
dla,d l a
dlaczego,d l a ˈ t ʃ̑ ɛ ɡ ɔ
dlatego,d l a ˈ t ɛ ɡ ɔ
dlań,d l ã ɲ
dmuchanie,d m u ˈ x ã ɲ ɛ
dmuchawiec,d m u ˈ x a vʲ j ɛ t s̑
dmuchać,ˈ d m u x a ʨ̑
dmuchnąć,ˈ d m u x n ɔ̃ ɲ ʨ̑
dn.,dʲ ɲ a
dniować,ˈ dʲ ɲ ɔ v a ʨ̑
dno,d n ɔ
do,d ɔ
doba,ˈ d ɔ b a
doberman,d ɔ ˈ b ɛ r m ã n
dobieg,ˈ d ɔ bʲ j ɛ k
dobiegaczka,ˌ d ɔ bʲ j ɛ ˈ ɡ a t ʃ̑ k a
dobijanie,ˌ d ɔ bʲ i ˈ j ä̃ ɲ ɛ
dobitnie,d ɔ ˈ bʲ i tʲ ɲ ɛ
dobitność,d ɔ ˈ bʲ i t n ɔ ɕ ʨ̑
dobitny,d ɔ ˈ bʲ i t n ɨ
dobić,ˈ d ɔ bʲ i ʨ̑
dobosz,ˈ d ɔ b ɔ ʃ
dobra,ˈ d ɔ b r a
dobranoc,d ɔ ˈ b r ã n ɔ t s̑
dobro,ˈ d ɔ b r ɔ
dobrobyt,d ɔ ˈ b r ɔ b ɨ t
dobrochoczy,ˌ d ɔ b r ɔ ˈ x ɔ t ʃ̑ ɨ
dobroczynny,ˌ d ɔ b r ɔ ˈ t ʃ̑ ɨ̃ nː ɨ
dobrodziej,d ɔ ˈ b r ɔ ʥ̑ ɛ̇ j
dobrota,d ɔ ˈ b r ɔ t a
dobrotliwy,ˌ d ɔ b r ɔ ˈ t lʲ i v ɨ
dobrowolnie,ˌ d ɔ b r ɔ ˈ v ɔ lʲ ɲ ɛ
dobrowolny,ˌ d ɔ b r ɔ ˈ v ɔ l n ɨ
dobroć,ˈ d ɔ b r ɔ ʨ̑
dobry,ˈ d ɔ b r ɨ
dobrze,ˈ d ɔ b ʒ ɛ
dobrzedziałka,ˌ d ɔ b ʒ ɛ ˈ ʥ̑ a w k a
dobytczę,d ɔ ˈ b ɨ ṭ t ʃ̑ ɛ
dobytek,d ɔ ˈ b ɨ t ɛ k
dobywać,d ɔ ˈ b ɨ v a ʨ̑
dobyć,ˈ d ɔ b ɨ ʨ̑
docenianie,ˌ d ɔ t s̑ ɛ̃ ˈ ɲ ä̃ ɲ ɛ
doceniać,d ɔ ˈ t s̑ ɛ̃ ɲ ä ʨ̑
docenienie,ˌ d ɔ t s̑ ɛ̃ ˈ ɲ ɛ̇̃ ɲ ɛ
docenić,d ɔ ˈ t s̑ ɛ̃ ɲ i ʨ̑
docent,ˈ d ɔ t s̑ ɛ̃ n t
docentura,ˌ d ɔ t s̑ ɛ̃ n ˈ t u r a
dochodowy,ˌ d ɔ x ɔ ˈ d ɔ v ɨ
dochodzenie,ˌ d ɔ x ɔ ˈ d z̑ ɛ̃ ɲ ɛ
dochodzić,d ɔ ˈ x ɔ ʥ̑ i ʨ̑
dochód,ˈ d ɔ x u t
docierać,d ɔ ˈ ʨ̑ ɛ r a ʨ̑
doczepić,d ɔ ˈ t ʃ̑ ɛ pʲ i ʨ̑
doczesny,d ɔ ˈ t ʃ̑ ɛ s n ɨ
doczka,ˈ d ɔ t ʃ̑ k a
dodanie,d ɔ ˈ d ã ɲ ɛ
dodatek,d ɔ ˈ d a t ɛ k
dodatkowy,ˌ d ɔ d a t ˈ k ɔ v ɨ
dodatni,d ɔ ˈ d a tʲ ɲ i
dodawanie,ˌ d ɔ d a ˈ v ã ɲ ɛ
dodawać,d ɔ ˈ d a v a ʨ̑
dodać,ˈ d ɔ d a ʨ̑
dodo,ˈ d ɔ d ɔ
dodomczyk,d ɔ ˈ d ɔ̃ m t ʃ̑ ɨ k
dodomka,d ɔ ˈ d ɔ̃ m k a
dodomski,d ɔ ˈ d ɔ̃ m sʲ c i
dodzierżeć,d ɔ ˈ ʥ̑ ɛ r ʒ ɛ ʨ̑
dog,d ɔ k
doganiać,d ɔ ˈ ɡ ã ɲ ä ʨ̑
dogaszać,d ɔ ˈ ɡ a ʃ a ʨ̑
dogodzić,d ɔ ˈ ɡ ɔ ʥ̑ i ʨ̑
dogorywać,ˌ d ɔ ɡ ɔ ˈ r ɨ v a ʨ̑
dogrywka,d ɔ ˈ ɡ r ɨ f k a
doić,ˈ d ɔ s u p j s u p i ʨ̑
dojazdowy,ˌ d ɔ j a z ˈ d ɔ v ɨ
dojebać,d ɔ ˈ j ɛ b a ʨ̑
dojechać,d ɔ ˈ j ɛ x a ʨ̑
dojenie,d ɔ ˈ j ɛ̇̃ ɲ ɛ
dojeść,ˈ d ɔ j ɛ̇ ɕ ʨ̑
dojeżdżać,d ɔ ˈ j ɛ ʒ d ʒ̑ a ʨ̑
dojrzały,d ɔ j ˈ ʒ a w ɨ
dojrzewanie,ˌ d ɔ j ʒ ɛ ˈ v ã ɲ ɛ
dojrzewać,d ɔ j ˈ ʒ ɛ v a ʨ̑
dojście,ˈ d ɔ j ɕ ʨ̑ ɛ
dojść,d ɔ j ɕ ʨ̑
dok,d ɔ k
dokarmianie,ˌ d ɔ k a r ˈ mʲ j ä̃ ɲ ɛ
dokarmiać,d ɔ ˈ k a r mʲ j ä ʨ̑
dokonanie,ˌ d ɔ k ɔ̃ ˈ n ã ɲ ɛ
dokonany,ˌ d ɔ k ɔ̃ ˈ n ã n ɨ
dokonać,d ɔ ˈ k ɔ̃ n a ʨ̑
dokonały,ˌ d ɔ k ɔ̃ ˈ n a w ɨ
dokonywanie,ˌ d ɔ k ɔ̃ n ɨ ˈ v ã ɲ ɛ
dokonywać,ˌ d ɔ k ɔ̃ ˈ n ɨ v a ʨ̑
dokowanie,ˌ d ɔ k ɔ ˈ v ã ɲ ɛ
dokręcać,d ɔ ˈ k r ɛ̃ n t s̑ a ʨ̑
doktor,ˈ d ɔ k t ɔ r
doktorancki,ˌ d ɔ k t ɔ ˈ r ã n t s̑ʲ c i
doktorant,d ɔ k ˈ t ɔ r ã n t
doktorantka,ˌ d ɔ k t ɔ ˈ r ã n t k a
doktorostwo,ˌ d ɔ k t ɔ ˈ r ɔ s t f ɔ
doktorski,d ɔ k ˈ t ɔ r sʲ c i
doktorstwo,d ɔ k ˈ t ɔ r s t f ɔ
doktryna,d ɔ k ˈ t r ɨ̃ n a
dokuczanie,ˌ d ɔ k u ˈ t ʃ̑ ã ɲ ɛ
dokuczać,d ɔ ˈ k u t ʃ̑ a ʨ̑
dokuczliwy,ˌ d ɔ k u t ʃ̑ ˈ lʲ i v ɨ
dokuczyć,d ɔ ˈ k u t ʃ̑ ɨ ʨ̑
dokument,d ɔ ˈ k ũ m ɛ̃ n t
dokumentacja,ˌ d ɔ k ũ m ɛ̃ n ˈ t a t s̑ʲ j a
dokąd,ˈ d ɔ k ɔ̃ n t
dokądś,ˈ d ɔ k ɔ̃ n tʲ ɕ
dokładanie,ˌ d ɔ k w a ˈ d ã ɲ ɛ
dokładać,d ɔ ˈ k w a d a ʨ̑
dokładnie,d ɔ ˈ k w a dʲ ɲ ɛ
dokładność,d ɔ ˈ k w a d n ɔ ɕ ʨ̑
dokładny,d ɔ ˈ k w a d n ɨ
dol,d ɔ l
dola,ˈ d ɔ l a
dolar,ˈ d ɔ l a r
dolarowy,ˌ d ɔ l a ˈ r ɔ v ɨ
dolaryzacja,ˌ d ɔ l a r ɨ ˈ z a t s̑ʲ j a
dolaryzowanie,ˌ d ɔ l a r ɨ z ɔ ˈ v ã ɲ ɛ
dolaryzować,ˌ d ɔ l a r ɨ ˈ z ɔ v a ʨ̑
dolec,ˈ d ɔ l ɛ t s̑
dolegliwość,ˌ d ɔ l ɛ ɡ ˈ lʲ i v ɔ ɕ ʨ̑
doległość,d ɔ ˈ l ɛ ɡ w ɔ ɕ ʨ̑
dolewać,d ɔ ˈ l ɛ v a ʨ̑
doliczyć,d ɔ ˈ lʲ i t ʃ̑ ɨ ʨ̑
dolina,d ɔ ˈ lʲ ĩ n a
doliniarz,d ɔ ˈ lʲ ĩ ɲ a ʃ
dolinka,d ɔ ˈ lʲ ĩ n k a
dolinny,d ɔ ˈ lʲ ĩ nː ɨ
dolmeczerka,ˌ d ɔ l m ɛ ˈ t ʃ̑ ɛ r k a
dolmen,ˈ d ɔ l m ɛ̃ n
dolmusz,ˈ d ɔ l m u ʃ
dolnoniemieckojęzyczny,ˈ d ɔ l n ɔ ɲ ɛ̃ ˈ mʲ j ɛ t s̑ k ɔ j ɛ̃ w̃ ˈ z ɨ t ʃ̑ n ɨ
dolnołużycki,ˌ d ɔ l n ɔ w u ˈ ʒ ɨ t s̑ʲ c i
dolnołużyckojęzyczny,ˈ d ɔ l n ɔ w u ˈ ʒ ɨ t s̑ k ɔ j ɛ̃ w̃ ˈ z ɨ t ʃ̑ n ɨ
dolny,ˈ d ɔ l n ɨ
dolomit,d ɔ ˈ l ɔ̃ mʲ i t
dolos,ˈ d ɔ l ɔ s
dolędźwiowy,ˌ d ɔ l ɛ̃ ɲ ʥ̑ ˈ vʲ j ɔ v ɨ
dom,d ɔ̃ m
dom,ˈ d ɔ m ɨ
domak,ˈ d ɔ̃ m a k
domalować,ˌ d ɔ̃ m a ˈ l ɔ v a ʨ̑
domalowywanie,ˌ d ɔ̃ m a l ɔ v ɨ ˈ v ã ɲ ɛ
domalowywać,ˌ d ɔ̃ m a l ɔ ˈ v ɨ v a ʨ̑
domatorka,ˌ d ɔ̃ m a ˈ t ɔ r k a
domek,ˈ d ɔ̃ m ɛ k
domena,d ɔ̃ ˈ m ɛ̃ n a
domestykacja,ˌ d ɔ̃ m ɛ s t ɨ ˈ k a t s̑ʲ j a
domina,d ɔ̃ ˈ mʲ ĩ n a
dominacja,ˌ d ɔ̃ mʲ ĩ ˈ n a t s̑ʲ j a
dominicki,ˌ d ɔ̃ mʲ ĩ ˈ ɲ i t s̑ʲ c i
dominikanin,ˌ d ɔ̃ mʲ ĩ ɲ i ˈ k ã ɲ ĩ n
dominikański,ˌ d ɔ̃ mʲ ĩ ɲ i ˈ k ã j̃ sʲ c i
domino,d ɔ̃ ˈ mʲ ĩ n ɔ
dominować,ˌ d ɔ̃ mʲ ĩ ˈ n ɔ v a ʨ̑
domniemanie,ˌ d ɔ̃ mʲ ɲ ɛ̃ ˈ m ã ɲ ɛ
domniemany,ˌ d ɔ̃ mʲ ɲ ɛ̃ ˈ m ã n ɨ
domofon,d ɔ̃ ˈ m ɔ f ɔ̃ n
domokrążca,ˌ d ɔ̃ m ɔ ˈ k r ɔ̃ w̃ ʃ t s̑ a
domowy,d ɔ̃ ˈ m ɔ v ɨ
domra,ˈ d ɔ̃ m r a
