headword,pronunciation
permütasyonu,p e ɾ m y t a s j o ˈ n u
planetler,p ł a n e t ˈ l e ɾ
polen,p o ł e n
ponton,p o n ˈ t o n
ponton,p o n t o n ˈ l a ɾ
postlar,p o s t ˈ l a ɾ
profiterol,p ɾ o f i t e ˈ ɾ o ɫ
profiteroller,p ɾ o f i t e ɾ o ɫ ˈ ɫ e ɾ
psikoz,p s i ˈ k o z
psikoz,p s i k o z ˈ l a ɾ
psikozsa,p s i ˈ k o z s a
pınarlar,p ɯ n a ɾ ˈ l a ɾ
radyasyon,r a d j a s ˈ j o n
radyasyon,r a d j a s j o n ˈ l a ɾ
rebiyülahir,r e b ˈ i j y l a ˈ h i r
rebiyülahir,r e b ˈ i j y l a h i r ˈ l e ɾ
rebiyülevvel,r e b ˈ i j y l e v v e l ˈ l e ɾ
rebiyülevvel,r e b ˈ i j y l e v ˈ v e l
recep,ɾ e ˈ d͡ ʒ e p
recep,ɾ e d͡ ʒ e p ˈ l e ɾ
reddeden,ˈ ɾ e d d e d e n
reddeden,ˈ ɾ e d d e d e n ˈ l e ɾ
robot,ɾ o ˈ b o t
robot,ɾ o b o t ˈ l a ɾ
run,ɾ u n ˈ l a ɾ
run,ˈ ɾ u n
röntgenyum,ʀ œ n t ˈ g eː n j ʊ m
safer,s a f e r
safer,s a f e r ˈ l e ɾ
saha,s a h a ˈ l a ɾ
saha,s a ˈ h a
sahabe,s a h a b e ˈ l e ɾ
sahabe,s a h a ˈ b e
sakatlar,s a k a t ˈ l a ɾ
saksafon,s ɑ k s ɑ f ɔ n
salaklar,s a l a c ˈ l a ɾ
salı,s a l ɯ ˈ l a ɾ
salı,s a ˈ l ɯ
sanayiler,s a n a j i ˈ l e ɾ
sap,s a p ˈ l a ɾ
sap,ˈ s a p
saplar,s a p ˈ l a ɾ
sapık,s a ˈ p ɯ c
sapık,s a p ɯ k ˈ l a ɾ
sari,s a ˈ ɾ i
sari,ˈ s a r i
sari,s a ɾ i ˈ l e ɾ
sarı,s a ˈ ɾ ɯ
sarı,s a ɾ ɯ ˈ l a ɾ
satır,s a t ɯ ɾ ˈ l a ɾ
satır,s a ˈ t ɯ ɾ
sağlık,s a ɰ ˈ l ɯ c
sebze,s e b z e ˈ l e ɾ
sebze,s e b ˈ z e
sebze,d i l T ü r k ç e
seks,ˈ s e c s
sekse,s e k ˈ s e
seksi,s e k ˈ s i
seksin,s e k ˈ s i n
seksler,s e k s ˈ ɫ e ɾ
sekste,s e k s ˈ t e
seksten,s e k s ˈ t e n
sembol,s e m ˈ b ɔ ɫ
sembol,s e m b ɔ ɫ ˈ l e ɾ
sertifika,s e ɾ t i f i c a ˈ l a ɾ
sertifika,s e ɾ t i f i ˈ c a
sertifikasyon,s e ɾ t i f i c a s ˈ j o n
sertifikasyon,s e ɾ t i f i c a s j o n ˈ l a ɾ
sezgin,s e z g i n ˈ l e ɾ
sezgin,s e z ˈ g i n
silahlar,s i ł a h ˈ l a ɾ
silgi,s i l ɟ i ˈ l e ɾ
silgi,s i l ˈ ɟ i
sinestezi,s i n e s t e z i ˈ l e ɾ
sinestezi,s i n e s t e ˈ z i
sis,ˈ s i s
sis,s i s ˈ l e ɾ
siyer,s i ˈ j e ɾ
siyerler,s i j e ɾ ˈ ɫ e ɾ
siğil,s i ˈ i l
siğil,s i i l ˈ l e ɾ
sobalar,s o b a ˈ l a ɾ
sofa,s o ˈ f a
sofa,s o f a ˈ l a ɾ
solucan,s o l u d͡ ʒ a n ˈ l a ɾ
solucanlar,s o l u d͡ ʒ a n ˈ l a ɾ
soluklar,s o ɫ u k ˈ ɫ ɛ ɾ
soyadı,ˈ s o j a d ɯ l a ˈ ɾ ɯ
soyadı,ˈ s o j a d ɯ
soykırım,t r
soykırım,s o j k ɯ r ɯ m
subaylar,s u b a j ˈ l a ɾ
suizan,s u i z a n ˈ l a ɾ
suizan,s u i ˈ z a n
söz,ˈ s ø z
sözcük,s ø z ˈ d͡ ʒ y c
sözcükse,s ø z ˈ d͡ ʒ y c s e
sözse,ˈ s ø z s e
sözü,s ø ˈ z y
sükût,d e ˈ v a m ɯ s y k j u t
süs,ˈ s y s
süs,s y s ˈ l e ɾ
sıfat,s ɯ ˈ f a t
sıhhat,s ɯ h ˈ h a t
sıkıntı,s ɯ c ɾ ɯ n ˈ t ɯ
sıkıntı,s ɯ c ɾ ɯ n t ɯ ˈ l a ɾ
sınıflar,s ɯ n ɯ f ˈ l a ɾ
sıra,s ɯ ɾ a ˈ l a ɾ
sıra,s ɯ ˈ ɾ a
sırası,s ɯ ɾ a ˈ s ɯ
sığır,s ɯ ˈ d͡ ʒ ɯ ɾ ˈ l a ɾ
sığır,s ɯ d͡ ʒ ɯ ɾ ˈ l a ɾ
taba,t a ˈ b a
taba,t a b a ˈ l a ɾ
tabut,t r
tabut,t a b u t
tacir,t a d͡ ʒ i ɾ
taciz,t aː d ʒ i z
tacizler,t aː d ʒ i z ˈ ɫ ɛ ɾ
takas,t a k a s ˈ l a ɾ
takas,t a ˈ k a s
talimat,t a l i ˈ m a t
talimat,t a l i m a t ˈ l a ɾ
tamlayan,t a m l a j a n ˈ l a ɾ
tamlayan,t a m l a ˈ j a n
tanım,ˈ t a n ɯ m
tanım,t a ˈ n ɯ m
tanım,t a n ɯ m ˈ l a ɾ
tarhana,t a ɾ h a ˈ n a
tarih,d i l T ü r k ç e
tarih,t a ˈ ɾ i h
tarih,t a ɾ i h ˈ l e ɾ
tarihler,t a ɾ i h ˈ l e ɾ
tavuk,t ɑ β u k
tekdillilik,ˈ t͡ ʃ o c d i l l i ˈ l i c
tekdillilik,ˈ t͡ ʃ o c d i l l i l i c ˈ l e ɾ
tekdillilik,d i l T ü r k ç e
teknik,t e c ˈ n i c
teknik,t e c n i c ˈ l e ɾ
teknikle,t e c n ˈ i c l e
teknikler,t e c n i c ˈ l e ɾ
teodise,t e o d i s e ˈ l e ɾ
teodise,t e o d i ˈ s e
teodise,l a n g t r
teoloji,t e o ɫ o ʒ i ˈ l e ɾ
teoloji,t e o ɫ o ˈ ʒ i
teoloji,l a n g t r
tere,t e ɾ e ˈ l e ɾ
tere,t e ˈ ɾ e
terimle,t e ˈ ɾ i m l e
terör,t e ˈ ɾ ø ɾ
terör,t e ɾ ø ɾ ˈ l e ɾ
tesettür,t e s e t t y ɾ ˈ l e ɾ
tesettür,t e s e t ˈ t y ɾ
tesettürlü,t e s e t t y ɾ l y ˈ l e ɾ
tesettürlü,t e s e t t y ɾ ˈ l y
tesettürsüz,t e s e t t y ɾ ˈ s y z
tesettürsüz,t e s e t t y ɾ s y z ˈ l e ɾ
teyzeler,t e j z e ˈ l e ɾ
teşbih,t e ʃ b i h
teşkilat,t e ʃ k i ˈ ɫ a t
teşkilat,t e ʃ k i ɫ a t ˈ l a ɾ
ticaret,t i d͡ ʒ a ɾ e t
toplum,t o p l u m ˈ l a ɾ
toplum,t o p ˈ l u m
totem,t o ˈ t e m
totem,t o t e m ˈ l e ɾ
turp,ˈ t u ɾ p
turp,t u ɾ p ˈ l a ɾ
turpgiller,t u ɾ p g i ɫ ˈ ɫ e ɾ
tuğ,ˈ t u
tüccar,t y d͡ ʒ d͡ ʒ a ɾ
türbeler,t y r b e ˈ ɫ e ɾ
tüyler,t y j ˈ ɫ e ɾ
tırabzan,t ɾ ɑ b ʐ ɑ n
tırabzan,l a n g t r
tığ,ˈ t ɯ
tığa,t ɯ ˈ a
tığda,t ɯ ˈ d a
tığdan,t ɯ ˈ d a n
tığlar,t ɯ ˈ l a ɾ
tığlara,t ɯ l a ˈ ɾ a
tığlarda,t ɯ l a ɾ ˈ d a
tığlardan,t ɯ l a ɾ ˈ d a n
tığları,t ɯ l a ˈ ɾ ı
tığların,t ɯ l a ˈ ɾ ı n
tığı,t ɯ ˈ ɯ
tığın,t ɯ ˈ ı n
varoluş,ˈ v a ɾ o l u ʃ ˈ l a ɾ
varoluş,ˈ v a ɾ o l u ʃ
varoş,v a ɾ o ʃ ˈ l a ɾ
varoş,v a ˈ ɾ o ʃ
vasistas,v a s i s ˈ t a s
vasistas,v a s i s t a s ˈ l a ɾ
vaziyetle,v a z i ˈ j e t l e
vaziyetler,v a z i j e t ˈ l e ɾ
vezin,v e ˈ z i n
vezinler,v e z i n ˈ l e ɾ
wiki,ˈ v i c i
yalan,j a ˈ l a n
yalan,j a l a n ˈ l a ɾ
yaylar,j a j ˈ l a ɾ
yazarlar,j a z a ɾ ˈ l a ɾ
yağ,j a ˈ l a ɾ
yağ,ˈ j a
yağlar,j a ˈ l a ɾ
yenilemeler,j e n i l e m e ˈ l e ɾ
yevmiye,j e v m i j e ˈ l e ɾ
yevmiye,j e v m i ˈ j e
yol,ˈ j o l
yol,j o l ˈ l a ɾ
yumruk,j u m ˈ ɾ u c
yumruk,j u m ɾ u c ˈ l a ɾ
yörekent,j ø ɾ e ˈ c e n t
yörekent,j ø ɾ e c e n t ˈ l e ɾ
yüklem,j y c ˈ l e m ˈ l e ɾ
yüklem,j y c ˈ l e m
yükleme,j y c l e ˈ m e
yükleme,j y c l e m e ˈ l e ɾ
zahmetler,z a h m e t ˈ l e ɾ
zamansa,z a ˈ m a n s a
zamirler,z a m i ɾ ˈ l e ɾ
zan,ˈ z a n
zan,z a n ˈ l a ɾ
zararla,z a ˈ ɾ a ɾ l a
zararlar,z a ɾ a ɾ ˈ l a ɾ
zatürre,z ɑ t y ɾ ɾ ɛ
zilhicce,z i l h i d͡ ʒ d͡ ʒ e ˈ l e ɾ
zilhicce,z i l h i d͡ ʒ ˈ d͡ ʒ e
zilkade,z i l k a d e ˈ l e ɾ
zilkade,z i l k a ˈ d e
zurna,l a n g t r
zurna,z u ɾ n ɑ
zırh,ˈ z ɯ ɾ h
zırhlar,z ɯ ɾ h ˈ l a ɾ
çarşamba,t ʃ ɑ ɾ ʃ ɑ m b ɑ ˈ l ɑ ɾ
çarşamba,t ʃ ɑ ɾ ʃ ɑ m ˈ b ɑ
çatı,t͡ ʃ a t ɯ ˈ l a ɾ
çatı,t͡ ʃ a ˈ t ɯ
çay,ˈ d͡ ʒ a j
çaydan,d͡ ʒ a j ˈ d a n
çaylar,d͡ ʒ a j ˈ l a ɾ
çeke,t͡ ʃ e ˈ c e
çeke,t͡ ʃ e c e ˈ l e ɾ
çekin,t͡ ʃ e c i n ˈ l e ɾ
çekin,t͡ ʃ e ˈ c i n
çizgi,t͡ ʃ i z g i ˈ l e ɾ
çizgi,t͡ ʃ i z ˈ g i
çokdillilik,ˈ t͡ ʃ o c d i l l i ˈ l i c
çokdillilik,ˈ t͡ ʃ o c d i l l i l i c ˈ l e ɾ
çokdillilik,d i l T ü r k ç e
çıkma,t͡ ʃ ɯ c ˈ m a
çıkma,t͡ ʃ ɯ c m a ˈ l a ɾ
çıkma,ˈ t͡ ʃ ɯ c m a
çıktı,t͡ ʃ ɯ c ˈ t ɯ
çıktı,t͡ ʃ ɯ c t ɯ ˈ l a ɾ
öfke,œ f k ɛ
ölçek,ø l t͡ ʃ e c ˈ l e ɾ
ölçek,ø l ˈ t͡ ʃ e c
örümcek,ø ɾ y m ˈ d͡ ʒ e c
örümcekler,ø ɾ y m d͡ ʒ e c ˈ l e ɾ
üç,ˈ y t͡ ʃ
i̇ffet'ler,i f f e t ˈ ɫ e ɾ
i̇ffetler,i f f e t ˈ ɫ e ɾ
ıslahlar,ɯ s l a h ˈ l a ɾ
ışık,ɯ ʃ ɯ c ˈ l a ɾ
ışık,ɯ ˈ ʃ ɯ c
ışıklar,ɯ ʃ ɯ c ˈ l a ɾ
şaban,ʃ a ˈ b a n
şaban,ʃ a b a n ˈ l a ɾ
şablon,ʃ a b l o n ˈ l a ɾ
şablon,ʃ a b ˈ l o n
şablonlar,ʃ a b l o n ˈ l a ɾ
şablonu,ʃ a b l o ˈ n u
şehir,ʃ e ˈ h i ɾ
şehir,ʃ e h i ɾ ˈ l e ɾ
şevval,ʃ e v v a ł ˈ ł e ɾ
şevval,ʃ e v ˈ v a ł
şiş,ˈ ʃ i ʃ
şiş,ʃ i ʃ ˈ l e ɾ
şişe,ʃ i ˈ ʃ e
şişe,ʃ i ʃ e ˈ l e ɾ
şişler,ʃ i ʃ ˈ l e ɾ
