headword,pronunciation
грот,г р о́ т ы
грот,г р о т
грохот,г р о х о т а́
грохот,г р о́ х о т
грохот,н о р м а п р о ф е с с и о н а л ь н о е
грохот,г р о́ х о т ы
груда,г р у́ д а
груда,г р у́ д ы
грудник,ɡ r ʊ d̪ ˈ nʲ i k
грудник,ɡ r ʊ d̪ nʲ ɪ ˈ kʲ i
грудь,ˈ g r u tʲ
грудь,ˈ g r u dʲ ɪ
груз,г р у з
груз,г р у́ з ы
грузин,г р у з и́ н
грузин,г р у з и́ н ы
грузинка,ɡ r ʊ ˈ zʲ i n kʲ ɪ
грузинка,ɡ r ʊ ˈ zʲ i n k ə
грузоотправитель,ɡ r ʊ z əː t p r ɐ ˈ vʲ i tʲ ɪ lʲ
грузополучатель,g r ʊ z ə p ə ɫ ʊ ˈ t͡ ɕ æ tʲ ɪ lʲ ɪ ˌ g r u z ə p ə ɫ ʊ ˈ t͡ ɕ æ tʲ ɪ lʲ ɪ
грузополучатель,g r ʊ z ə p ə ɫ ʊ ˈ t͡ ɕ æ tʲ ɪ lʲ ˌ g r u z ə p ə ɫ ʊ ˈ t͡ ɕ æ tʲ ɪ lʲ
группа,ˈ ɡ r u pː ɨ
группа,ˈ ɡ r u pː ə
группировка,г р у п п и р о́ в к а
группировка,г р у п п и р о́ в к и
груша,г р у́ ш и
груша,г р у́ ш а
грушовка,g r ʊ ˈ ɕ o f kʲ ɪ
грушовка,g r ʊ ˈ ɕ o f k ə
грызло,ˈ g r ɨ z ɫ ə
грызун,g r ɨ̞ ˈ z u n
грызун,g r ɨ̞ z ʊ ˈ n ɨ
грядка,г р я́ д к и
грядка,г р я́ д к а
грязнуля,g rʲ ɪ ˈ z n u lʲ ə
грязнуля,g rʲ ɪ ˈ z n u lʲ ɪ
грязь,г р я́ з и
грязь,г р я з ь
губа,г у́ б ы
губа,г у б а́
губач,г у б а ч и́
губач,г у б а́ ч
губернатор,г у б е р н а́ т о р ы
губернатор,г у б е р н а́ т о р
губитель,г у б и́ т е л ь
губитель,г у б и́ т е л и
губительница,г у б и́ т е л ь н и ц ы
губительница,г у б и́ т е л ь н и ц а
губнушка,ɡ ʊ b ˈ n̪ u ʂ kʲ ɪ
губнушка,ɡ ʊ b ˈ n̪ u ʂ k ə
губчатость,г у́ б ч а т о с т ь
губчатость,г у́ б ч а т о с т и
гувернёр,g ʊ vʲ ɪ r ˈ nʲ ɵ r ɨ
гувернёр,g ʊ vʲ ɪ r ˈ nʲ ɵ r
гугл,g u g l
гуглер,ˈ ɡ u ɡ lʲ ɪ r
гуглер,ˈ ɡ u ɡ lʲ ɪ r ɨ
гудрон,г у д р о́ н ы
гудрон,г у д р о́ н
гудронатор,г у д р о н а́ т о р
гудронатор,г у д р о н а́ т о р ы
гудрончик,г у д р о́ н ч и к
гудрончик,г у д р о́ н ч и к и
гуж,g ʊ ˈ ʒ ɨ
гуж,ˈ g u ʃ
гулаговщина,ɡ ʊ ˈ ɫ̪ a ɡ ə f ɕː ɪ n̪ ɨ
гулаговщина,ɡ ʊ ˈ ɫ̪ a ɡ ə f ɕː ɪ n̪ ə
гулкость,ˈ g u ɫ k ə sʲ tʲ ɪ
гулкость,ˈ g u ɫ k ə sʲ tʲ
гулька,
гулька,ˈ ɡ u lʲ kʲ ɪ
гулька,ˈ ɡ u lʲ k ə
гуляка,ɡ ʊ ˈ lʲ æ kʲ ɪ
гуляка,ɡ ʊ ˈ lʲ æ k ə
гулёна,g ʊ ˈ lʲ ɵ n ɨ
гулёна,g ʊ ˈ lʲ ɵ n ə
гумконвой,ˌ g ʊ m k ɐ n̪ ˈ v o ɪ̯ ɪ
гумконвой,ˌ g ʊ m k ɐ n̪ ˈ v o ɪ̯
гумьер,ɡ ʊ ˈ mʲ j e r
гумьер,ɡ ʊ ˈ mʲ j e r ɨ
гуриец,ɡ ʊ ˈ rʲ i j t s ɨ
гуриец,ɡ ʊ ˈ rʲ i ɪ t s
гурийка,ɡ ʊ ˈ ɾʲ i j kʲ ɪ
гурийка,ɡ ʊ ˈ ɾʲ i j k ə
гуркх,ˈ ɡ u r k x
гуркх,ˈ ɡ u r k xʲ ɪ
гурман,g ʊ r ˈ m a n ᵻ
гурман,g ʊ r ˈ m a n
гурьба,i n c o r r e c t
гурьба,g u rʲ ˈ b a
гурьба,g u rʲ ˈ b ɨ
гусар,g ʊ ˈ s a r
гусар,g ʊ ˈ s a r ɨ
гусарик,г у с а́ р и к
гусарик,г у с а́ р и к и
гусь,ˈ ɡ u sʲ ɪ
гусь,ɡ u sʲ
гусятница,g ʊ s ˈʲ æ t̻ nʲ ɪ t͡ s ə
гусятница,g ʊ s ˈʲ æ t̻ nʲ ɪ t͡ s ɨ
гуталин,g ʊ t ɐ ˈ lʲ i n
гуталин,g ʊ t ɐ ˈ lʲ i n ɨ
гуттаперча,g ʊ t ɐ ˈ pʲ e r ʨ ɪ
гуттаперча,g ʊ t ɐ ˈ pʲ e r ʨ ə
гуща,ˈ g u ɕː ə
гуща,ˈ g u ɕː ɪ
гэбист,ɡ ɛ ˈ bʲ i s t ɨ
гэбист,ɡ ɛ ˈ bʲ i s t
гювеч,г ю в е́ ч
гюрза,gʲ ʉ r ˈ z a
гюрза,gʲ ʉ r ˈ z ɨ
гяур,ɡ ɪ ˈ ʉ r ɨ
гяур,ɡ ɪ ˈ ʉ r
давалец,д а в а́ л е ц
давалец,д а в а́ л ь ц ы
даг,d̪ a k
даг,ˈ d̪ a ɡʲ ɪ
дагеротип,d ə gʲ ɪ r ʌ ˈ tʲ i p
дагеротип,d ə gʲ ɪ r ʌ ˈ tʲ i p ɨ̞
дагерротип,d ə gʲ ɪ r ɐ ˈ tʲ i p ɨ̞
дагерротип,d ə gʲ ɪ r ɐ ˈ tʲ i p
дагестанец,д а г е с т а́ н е ц
дагестанец,д а г е с т а́ н ц ы
дадаист,д а д а и́ с т
дадаист,д а д а и́ с т ы
дайвер,ˈ d̪ a ɪ̯ vʲ ɪ r ɨ
дайвер,ˈ d̪ a ɪ̯ vʲ ɪ r
дайкон,d̪ ɐ ɪ̯ ˈ k o n̪ ɨ
дайкон,d̪ ɐ ɪ̯ ˈ k o n̪
дакрон,д а к р о́ н ы
дакрон,д а к р о́ н
дактиль,д а́ к т и л ь
дактиль,д а́ к т и л и
далласец,д а́ л л а с е ц
далласец,д а́ л л а с ц ы
даль,д а л ь
даль,д а́ л и
дальнозоркость,d ə lʲ n ɐ ˈ z o r k ə sʲ tʲ ɪ
дальнозоркость,d ə lʲ n ɐ ˈ z o r k ə sʲ tʲ
дальномер,d ə lʲ n ɐ ˈ mʲ e r
дальномер,d ə lʲ n ɐ ˈ mʲ e r ɨ
дальтоник,d ɐ lʲ ˈ t o nʲ ɪ k
дальтоник,d ɐ lʲ ˈ t o nʲ ɪ kʲ ɪ
дама,д а́ м ы
дама,д а́ м а
дантист,d ɐ nʲ ˈ tʲ i s t
дантист,d ɐ nʲ ˈ tʲ i s t ɨ
дар,д а р ы́
дар,д а р
дарвинизм,d a r vʲ ɪ ˈ nʲ ɪ z m
дарвинизм,d a r vʲ ɪ n ˈʲ ɪ z m ɨ
дарение,д а р е́ н и е
дарение,д а р е́ н и я
даренье,д а р е́ н ь я
даренье,д а р е́ н ь е
дармоед,d ə r m ɐ ˈ j e t
дармоед,d ə r m ɐ ˈ j e d ɨ
дармоедка,д а р м о е́ д к а
дармоедка,д а р м о е́ д к и
дасия,d ɐ ˈ sʲ i j ɪ
дасия,d ɐ ˈ sʲ i j ə
дата,д а́ т ы
дата,д а́ т а
датировка,d ə tʲ ɪ ˈ r o f k ə
датировка,d ə tʲ ɪ ˈ r o f kʲ ɪ
датчанка,д а т ч а́ н к и
датчанка,g e m y
датчанка,д а т ч а́ н к а
дацан,d ʌ ˈ t s a n
дацан,d ʌ ˈ t s a n ɨ̞
дача,ˈ d a ʨ ə
дача,ˈ d a ʨ ɪ
даяние,d ɐ ˈ j æ nʲ ɪ j ə
даянье,д а я́ н ь е
даянье,д а я́ н ь я
двадцатигранник,d v ə t͡ s ə tʲ ɪ ˈ g r a nʲː ɪ k
двадцатигранник,d v ə t͡ s ə tʲ ɪ ˈ g r a nʲː ɪ kʲ ɪ
дверь,ˈ d vʲ e rʲ ɪ
дверь,ˈ d vʲ e rʲ
двигателист,d vʲ ɪ ɡ ə tʲ ɪ ˈ lʲ i s t
двигатель,д в и́ г а т е л и
двигатель,д в и́ г а т е л ь
движение,d vʲ ɪ ˈ ʐ e nʲ ɪ j ə
движок,d vʲ ɪ ˈ ʂ kʲ i
движок,d vʲ ɪ ˈ ʐ o̞ k
двоеточие,d v ə j ə ˈ t o ʨ ɪ j ə
двоичность,д в о и́ ч н о с т и
двоичность,д в о и́ ч н о с т ь
двоичный,д в о и́ ч н ы й
двоичный,д в о и́ ч н ы е
двойственный,д в о́ й с т в е н н ы й
двойственный,д в о́ й с т в е н н ы е
двор,д в о р ы́
двор,д в о р
дворец,д в о р е́ ц
дворец,д в о р ц ы́
дворецкий,d v ɐ ˈ rʲ e t͡ s kʲ ɪ ɪ̯
дворецкий,d v ɐ ˈ rʲ e t͡ s kʲ ɪː
дворницкая,ˈ d̪ v o̞ r nʲ ɪ t͡ s k ə ɪ̯ ə
дворницкая,ˈ d̪ v o̞ r nʲ ɪ t͡ s kʲ ɪ ɪ̯ ə
двояковогнутый,д в о я̀ к о в о́ г н у т ы е
двояковогнутый,д в о я̀ к о в о́ г н у т ы й
двоякодышащий,д в о я̀ к о д ы́ ш а щ и й
двоякодышащий,д в о я̀ к о д ы́ ш а щ и е
двубережный,д в у б е р е́ ж н ы е
двубережный,д в у б е р е́ ж н ы й
двуколка,d v ʊ ˈ k o̞ l k ə
двуколка,d v ʊ ˈ k o̞ l kʲ ɪ
двурогий,д в у р о́ г и е
двурогий,д в у р о́ г и й
двухъярусный,д в у х ъ я́ р у с н ы й
двухъярусный,д в у х ъ я́ р у с н ы е
дебет,ˈ dʲ e bʲ ɪ t
дебет,ˈ dʲ e bʲ ɪ t ɨ
дебил,д е б и́ л ы
дебил,д е б и́ л
дебилизм,dʲ ɪ bʲ ɪ ˈ lʲ i z m
дебилизм,dʲ ɪ bʲ ɪ ˈ lʲ i z m ɨ
дебошир,д е б о ш и́ р
дебошир,д е б о ш и́ р ы
дебри,
дебри,ˈ dʲ e b rʲ ɪ
дебуккализация,dʲ ɪ b ʊ kː ə lʲ ɪ ˈ z a t͡ s ɨ j ɪ
дебуккализация,dʲ ɪ b ʊ kː ə lʲ ɪ ˈ z a t͡ s ɨ j ə
дебурбер,d ɛ b ʊ r ˈ bʲ e r ɨ
дебурбер,d ɛ b ʊ r ˈ bʲ e r
девайс,dʲ ɪ ˈ v a ɪ̯ s̪
девайс,dʲ ɪ ˈ v a ɪ̯ s̪ ɨ
девелопер,dʲ ɪ ˈ vʲ e ɫ ə pʲ ɪ r
девелопер,dʲ ɪ ˈ vʲ e ɫ ə pʲ ɪ r ɨ
деверь,dʲ ɪ vʲ ɪ ˈ rʲ j a
деверь,ˈ dʲ e vʲ ɪ rʲ
девка,д е́ в к а
девка,д е́ в к и
девон,д е в о́ н
девон,д е в о́ н ы
девочка,д е́ в о ч к а
девочка,д е́ в о ч к и
девственный,д е́ в с т в е н н ы е
девственный,д е́ в с т в е н н ы й
девушка,ˈ dʲ e v ʊ ʂ k ə
девушка,ˈ dʲ e v ʊ ʂ kʲ ɪ
девяностый,д е в я н о́ с т ы й
девяностый,д е в я н о́ с т ы е
девясил,dʲ ɪ vʲ ɪ ˈ sʲ i ɫ
девясил,dʲ ɪ vʲ ɪ ˈ sʲ i ɫ ɨ
девятины,
девятины,dʲ ɪ vʲ ɪ ˈ tʲ i n ɨ
девятисотка,д е в я т и с о́ т к и
девятисотка,д е в я т и с о́ т к а
дегенератка,д е г е н е р а́ т к и
дегенератка,д е г е н е р а́ т к а
дед,ˈ dʲ e t
дед,ˈ dʲ e d ɨ dʲ ɪ ˈ d ɨ
дедуля,д е д у́ л и
дедуля,д е д у́ л я
дедушка,д е́ д у ш к и
дедушка,д е́ д у ш к а
деепричастие,dʲ ɪː p rʲ ɪ ˈ ʨ a sʲ tʲ ɪ j ə
дежа,dʲ ɪ ˈ ʐ a
дежа,dʲ ɪ ˈ ʐ ɨ
деза,ˈ d̪ ɛ z̪ ɨ
деза,ˈ d̪ ɛ z̪ ə
дезавуирование,dʲ ɪ z ə v ʉ ˈ i r ə v ə nʲ ɪ j ə
дезертир,dʲ ɪ zʲ ɪ r ˈ tʲ i r
дезертир,dʲ ɪ zʲ ɪ r ˈ tʲ i r ɨ
дезодорант,д е з о д о р а́ н т
дезодорант,д е з о д о р а́ н т ы
деисус,ˈ d ɛ i s ʊ s ɨ
деисус,ˈ d ɛ i s ʊ s
действенный,д е́ й с т в е н н ы е
действенный,д е́ й с т в е н н ы й
действие,д е́ й с т в и я
действие,д е́ й с т в и е
действо,д е́ й с т в а
действо,д е́ й с т в о
декабрист,dʲ ɪ k ɐ ˈ b rʲ i s t ɨ
декабрист,dʲ ɪ k ɐ ˈ b rʲ i s t
декабрь,dʲ ɪ ˈ k a b rʲ
декабрь,dʲ ɪ k ɐ ˈ b rʲ i
декларация,д е к л а р а́ ц и и
декларация,д е к л а р а́ ц и я
декрет,д е к р е́ т
декрет,д е к р е́ т ы
декурион,d ɛ k ʊ rʲ ɪ ˈ o n
декурион,d ɛ k ʊ rʲ ɪ ˈ o n ɨ
делегация,д е л е г а́ ц и и
делегация,д е л е г а́ ц и я
деление,д е л е́ н и я
деление,д е л е́ н и е
делец,dʲ ɪ lʲ ˈ t s ɨ
делец,dʲ ɪ ˈ lʲ e t s
деликатес,д е л и к а т е́ с
деликатес,д е л и к а т е́ с ы
деликатность,dʲ ɪ lʲ ɪ ˈ k a t n ə sʲ tʲ
деликатность,dʲ ɪ lʲ ɪ ˈ k a t n ə sʲ tʲ ɪ
деликт,д е л и́ к т
деликт,д е л и́ к т ы
делимое,dʲ ɪ ˈ lʲ i m ə j ə
делимое,dʲ ɪ ˈ lʲ i m ɨ j ə
делинквентность,dʲ ɪ lʲ ɪ n k ˈ vʲ e n t n ə sʲ tʲ ɪ
делинквентность,dʲ ɪ lʲ ɪ n k ˈ vʲ e n t n ə sʲ tʲ
делис,dʲ ɪ ˈ lʲ ɪ s
делис,dʲ ɪ ˈ lʲ ɪ s ə
делитель,d ɪ ˈ lʲ i tʲ ɪ lʲ
делитель,d ɪ ˈ lʲ i tʲ ɪ lʲ ɪ
дело,dʲ ɪ ˈ ɫ a
дело,ˈ dʲ e ɫ ə
делопроизводитель,ˌ dʲ e ɫ̪ ə p r ə ɪ z̪ v ɐ ˈ dʲ i tʲ ɪ lʲ ɪ
делопроизводитель,ˌ dʲ e ɫ̪ ə p r ə ɪ z̪ v ɐ ˈ dʲ i tʲ ɪ lʲ
дельта,ˈ d ɛ lʲ t ə
дельта,ˈ d ɛ lʲ t ɨ
дельфин,д е л ь ф и́ н
дельфин,д е л ь ф и́ н ы
дельфиниум,д е л ь ф и́ н и у м
деляга,dʲ ɪ ˈ lʲ ä g ɪ
деляга,dʲ ɪ ˈ lʲ ä g ə
демагог,dʲ ɪ m ɐ ˈ ɡ o k
демагог,dʲ ɪ m ɐ ˈ ɡ o ɡʲ ɪ
демагогия,dʲ ɪ m ɐ ˈ g o gʲ ɪ j ə
демагогия,dʲ ɪ m ɐ ˈ g o gʲ ɪː
демимонд,d ɛ mʲ ɪ ˈ m o n d ɨ
демимонд,d ɛ mʲ ɪ ˈ m o n t
демиург,dʲ ɪ mʲ ɪ ˈ u r gʲ ɪ
демиург,dʲ ɪ mʲ ɪ ˈ u r k
демиург,d ɛ mʲ ɪ ˈ u r k
демиург,d ɛ mʲ ɪ ˈ u r gʲ ɪ
демократичный,д е м о к р а т и́ ч н ы е
демократичный,д е м о к р а т и́ ч н ы й
демократия,д е м о к р а́ т и я
демократия,д е м о к р а́ т и и
демон,ˈ dʲ e m ə n
демон,ˈ dʲ e m ə n ɨ
демонесса,dʲ ɪ m ɐ ˈ n̪ ɛ s̪ː ɨ
демонесса,dʲ ɪ m ɐ ˈ n̪ ɛ s̪ː ə
демонстрация,dʲ ɪ m ɐ n̪ ˈ s̪ t̪ r a t͡ s ɨ ɪ̯ ə
демонстрация,dʲ ɪ m ɐ n̪ ˈ s̪ t̪ r a t͡ s ɨ ɪ̯ ɪ
демшиза,dʲ ɪ m ˈ ʂ ɨ z ɨ
демшиза,dʲ ɪ m ʂ ɨ ˈ z ä
денатурат,dʲ ɪ n ə t ʊ ˈ r a t ɨ d ɛ n ə t ʊ ˈ r a t ɨ
денатурат,dʲ ɪ n ə t ʊ ˈ r a t d ɛ n ə t ʊ ˈ r a t
денационализация,д е н а ц и о н а л и з а́ ц и и
денационализация,д е н а ц и о н а л и з а́ ц и я
дендрарий,д э н д р а́ р и й
дендрарий,д э н д р а́ р и и
дендрит,dʲ ɪ n ˈ d rʲ i t
дендрит,dʲ ɪ n ˈ d rʲ i t ɨ
дендритный,д э н д р и́ т н ы й
дендритный,д э н д р и́ т н ы е
дензнак,dʲ ɪ n̪ ˈ z̪ n̪ ä kʲ ɪ
дензнак,dʲ ɪ n̪ ˈ z̪ n̪ ä k
деникинец,д е н и́ к и н е ц
деникинец,д е н и́ к и н ц ы
деним,д э н и́ м
деним,д э н и́ м ы
денщик,д е н щ и́ к
денщик,д е н щ и к и́
день,d nʲ i
день,dʲ e nʲ
денёк,dʲ ɪ ˈ nʲ ɵ k
денёк,dʲ ɪ nʲ ˈ k i
деонимизация,д е о н и м и з а́ ц и я
деонимизация,д е о н и м и з а́ ц и и
деонимический,д е о н и м и́ ч е с к и е
деонимический,д е о н и м и́ ч е с к и й
депозиция,д е п о з и́ ц и я
депозиция,д е п о з и́ ц и и
депрессняк,dʲ ɪ p rʲ ɪ sʲ nʲ ɪ ˈ kʲ i
депрессняк,dʲ ɪ p rʲ ɪ ˈ sʲ nʲ a k
депривация,dʲ ɪ p rʲ ɪ ˈ v ä t͡ s ɪ ɪ̯ ɪ
депривация,dʲ ɪ p rʲ ɪ ˈ v ä t͡ s ɪ ɪ̯ ə
депролетаризация,д э̀ п р о л е т а р и з а́ ц и и
депролетаризация,д э̀ п р о л е т а р и з а́ ц и я
депроприатив,д е п р о п р и а т и́ в ы
депроприатив,д е п р о п р и а т и́ в
депроприация,д е п р о п р и а́ ц и и
депроприация,д е п р о п р и а́ ц и я
деревенщина,д е р е в е́ н щ и н а
деревенщина,д е р е в е́ н щ и н ы
деревня,д е р е́ в н и
деревня,д е р е́ в н я
дерево,ˈ dʲ e rʲ ɪ v ə
дерево,dʲ ɪ ˈ rʲ e vʲ j ə
деревце,ˈ dʲ e rʲ ɪ f t͡ s ə
деревцо,dʲ ɪ rʲ ɪ f ˈ t͡ s o
деревцо,dʲ ɪ rʲ ɪ f ˈ t͡ s a
деревянный,dʲ ɪ rʲ ɪ ˈ vʲ æ nː ɨ j
деревянный,dʲ ɪ rʲ ɪ ˈ vʲ æ nː ɨ j ə
держава,dʲ ɪ r ˈ ʐ a v ɨ
держава,dʲ ɪ r ˈ ʐ a v ə
держатель,д е р ж а́ т е л и
держатель,д е р ж а́ т е л ь
дерзание,d̪ʲ ɪ r ˈ z̪ a n̪ʲ ɪ j ə
дерзец,dʲ ɪ r ˈ zʲ e t͡ s
дерзец,dʲ ɪ r zʲ ɪ ˈ t͡ s ɨ
дериватив,dʲ ɪ rʲ ɪ v ɐ ˈ tʲ i f
дериватив,dʲ ɪ rʲ ɪ v ɐ ˈ tʲ i v ɨ
десна,ˈ dʲ ɵ s n ɨ
десна,dʲ ɪ s ˈ n a
десница,dʲ ɪ sʲ ˈ nʲ i t͡ s ɨ
десница,dʲ ɪ sʲ ˈ nʲ i t͡ s ə
деспотия,dʲ ɪ s p ɐ ˈ tʲ iː
деспотия,dʲ ɪ s p ɐ ˈ tʲ i j ə
десублимация,д е с у б л и м а́ ц и и
десублимация,д е с у б л и м а́ ц и я
десятиугольник,д е с я т ѝ у г о́ л ь н и к
десятиугольник,д е с я т ѝ у г о́ л ь н и к и
десятник,д е с я́ т н и к и
десятник,д е с я́ т н и к
деталь,д е т а́ л ь
деталь,д е т а́ л и
детектив,д э т э к т и́ в ы
детектив,д э т э к т и́ в
детективный,д э т э к т и́ в н ы й
детективный,д э т э к т и́ в н ы е
дети,dʲ ɪ ˈ tʲ æ
дети,ˈ dʲ e tʲ ɪ
детоубийство,dʲ ɪ t ə ʊ ˈ bʲ i j s t v ə
детоубийца,dʲ ɪ t ə ʊ ˈ bʲ i j t s ə
детоубийца,dʲ ɪ t ə ʊ ˈ bʲ i j t s ɨ
детёныш,д е т ё н ы ш и
детёныш,д е т ё н ы ш
дефект,д е ф е́ к т
дефект,д е ф е́ к т ы
дефективный,д е ф е к т и́ в н ы е
дефективный,д е ф е к т и́ в н ы й
дефектовка,dʲ ɪ fʲ ɪ ˈ k t̪ o f kʲ ɪ
дефектовка,dʲ ɪ fʲ ɪ ˈ k t̪ o f k ə
дефектоскопия,dʲ ɪ f ɛ k t ə s k ɐ ˈ pʲ i j ə
дефектоскопия,dʲ ɪ f ɛ k t ə s k ɐ ˈ pʲ i ɪ
дефолт,d ɛ ˈ f o l t ɨ
дефолт,d ɛ ˈ f o l t
дешёвка,д е ш ё в к и
дешёвка,д е ш ё в к а
деэскалация,д э̀ э с к а л а́ ц и и
деэскалация,д э̀ э с к а л а́ ц и я
деятельность,ˈ dʲ e j ɪ tʲ ɪ lʲ n ə sʲ tʲ
деятельность,ˈ dʲ e j ɪ tʲ ɪ lʲ n ə sʲ tʲ ɪ
джамбори,ˈ d͡ ʑ a m b ə rʲ ɪ
джедай,d ʐ ɪ ˈ d a j
джедай,d ʐ ɪ ˈ d a ɪ
джезва,д ж е́ з в ы
джезва,д ж е́ з в а
джелоба,d̪ ʐ ɨ ˈ ɫ o b ə
джелоба,d̪ ʐ ɨ ɫ ɐ ˈ b ɨ
джелоба,d̪ ʐ ɨ ˈ ɫ o b ɨ
джелоба,d̪ ʐ ɨ ɫ ɐ ˈ b a
джем,ɖ͡ ʐ ɛ m
джем,ˈ ɖ͡ ʐ ɛ m ɨ
джигит,d ʐ ɨ ˈ ɡʲ i t ɨ
джигит,d ʐ ɨ ˈ ɡʲ i t
джигитовка,d ʐ ɨ ɡʲ ɪ ˈ t o f kʲ ɪ
джигитовка,d ʐ ɨ ɡʲ ɪ ˈ t o f k ə
джин,d ʐ ɨ n
джин,d ˈ ʐ ɨ n ɨ
джинса,d ʐ ɨ n ˈ s a
джинса,
джинсики,
джинсики,ˈ d͡ ʑ ɨ n̪ sʲ ɪ kʲ ɪ
джихадистка,д ж и х а д и́ с т к и
джихадистка,д ж и х а д и́ с т к а
дзельква,ˈ d͡ zʲ e lʲ k v ə
дзельква,ˈ d͡ zʲ e lʲ k v ɨ
дзета,ˈ d z ɛ t ə
дзета,ˈ d z ɛ t ɨ
диагональ,dʲ ɪ ə g ɐ ˈ n a lʲ
диагональ,dʲ ɪ ə g ɐ ˈ n a lʲ ɪ
диалектизм,д и а л е к т и́ з м
диалектизм,д и а л е к т и́ з м ы
диалектика,dʲ ɪ ɐ ˈ lʲ e k tʲ ɪ k ə
диалектика,dʲ ɪ ɐ ˈ lʲ e k tʲ ɪ kʲ ɪ
диалектолог,д и а л е к т о́ л о г
диалектолог,д и а л е к т о́ л о г и
диалектология,д и а л е к т о л о́ г и я
диалектология,д и а л е к т о л о́ г и и
диализ,dʲ ɪ ˈ a lʲ ɪ z̪ ɨ
диализ,dʲ ɪ ˈ a lʲ ɪ s̪
диалог,д и а л о́ г
диалог,д и а л о́ г и
диапедез,dʲ ɪ ɐ pʲ ɪ ˈ d ɛ z ɨ
диапедез,dʲ ɪ ɐ pʲ ɪ ˈ d ɛ s
диаспора,д и а с п о́ р ы
диаспора,д и а́ с п о р ы
диаспора,д и а́ с п о р а
диаспора,д и а с п о́ р а
диафрагма,д и а ф р а́ г м а
диафрагма,д и а ф р а́ г м ы
диван,dʲ ɪ ˈ v ä n̪ ɨ
диван,dʲ ɪ ˈ v ä n̪
диванная,д и в а́ н н ы е
диванная,д и в а́ н н а я
дивергенция,dʲ ɪ vʲ ɪ r ˈ gʲ e n t s ɨ ɪ
дивергенция,dʲ ɪ vʲ ɪ r ˈ gʲ e n t s ɨ j ə
дивертисмент,dʲ ɪ vʲ ɪ r tʲ ɪ s̪ ˈ mʲ e n̪ t̪ ɨ
дивертисмент,dʲ ɪ vʲ ɪ r tʲ ɪ s̪ ˈ mʲ e n̪ t̪
дивиденд,dʲ ɪ vʲ ɪ ˈ dʲ e n t
дивиденд,dʲ ɪ vʲ ɪ ˈ dʲ e n d ɨ
дивизионный,д и в и з и о́ н н ы е
дивизионный,д и в и з и о́ н н ы й
диво,ˈ dʲ i v ə
дигисет,dʲ ɪ ɡʲ ɪ ˈ s ɛ t
дигисет,dʲ ɪ ɡʲ ɪ ˈ s ɛ t ɨ
дидактика,dʲ ɪ ˈ d a k tʲ ɪ kʲ ɪ
дидактика,dʲ ɪ ˈ d a k tʲ ɪ k ə
диета,д и э́ т а
диета,д и э́ т ы
диета,д и е́ т ы
диета,д и е́ т а
дижестив,dʲ ɪ ʐ ɛ sʲ tʲ ɪ f
дижестив,dʲ ɪ ʐ ɛ sʲ tʲ ɪ v ɨ
дизамбиг,dʲ ɪ ˈ z̪ a m bʲ ɪ ɡʲ ɪ
дизамбиг,dʲ ɪ ˈ z̪ a m bʲ ɪ k
дикарь,д и к а р и́
дикарь,д и к а́ р ь
диктатор,dʲ ɪ k ˈ t a t ə r
диктатор,dʲ ɪ k ˈ t a t ə r ɨ
дикция,д и́ к ц и я
дикция,д и́ к ц и и
дилемма,д и л е́ м м а
дилемма,д и л е́ м м ы
дилетант,dʲ ɪ lʲ ɪ ˈ t ɑ n t ɨ
дилетант,dʲ ɪ lʲ ɪ ˈ t ɑ n t
диминутив,dʲ ɪ mʲ ɪ n ʊ ˈ tʲ i v ɨ
диминутив,dʲ ɪ mʲ ɪ n ʊ ˈ tʲ i f
дина,д и́ н ы
дина,д и́ н а
динамит,dʲ ɪ n ɐ ˈ mʲ i t
динамит,dʲ ɪ n ɐ ˈ mʲ i t ɨ̞
динамичность,д и н а м и́ ч н о с т и
динамичность,д и н а м и́ ч н о с т ь
династия,dʲ ɪ ˈ n a sʲ tʲ ɪ j ə
династия,dʲ ɪ ˈ n a sʲ tʲ ɪː
динозавр,dʲ ɪ n ɐ ˈ z a v r
динозавр,dʲ ɪ n ɐ ˈ z a v r ɨ
диорама,dʲ ɪ ɐ ˈ r a m ɨ
диорама,dʲ ɪ ɐ ˈ r a m ə
диорит,д и о р и́ т
диорит,д и о р и́ т ы
диплом,д и п л о́ м ы
диплом,д и п л о́ м
дипломат,д и п л о м а́ т ы
дипломат,д и п л о м а́ т
дипломатичность,д и п л о м а т и́ ч н о с т ь
дипломатичность,д и п л о м а т и́ ч н о с т и
дипломирование,д и п л о м и́ р о в а н и е
дипломирование,д и п л о м и́ р о в а н и я
диплонемида,д и п л о н е м и́ д ы
диплонемида,д и п л о н е м и́ д а
директива,dʲ ɪ rʲ ɪ k ˈ tʲ i v ɨ
директива,dʲ ɪ rʲ ɪ k ˈ tʲ i v ə
директивность,д и р е к т и́ в н о с т и
директивность,д и р е к т и́ в н о с т ь
директор,dʲ ɪ ˈ rʲ e k t ə r
директор,dʲ ɪ rʲ ɪ k t ɐ ˈ r a
директорий,д и р е к т о́ р и й
директорий,д и р е к т о́ р и и
директория,д и р е к т о́ р и и
директория,д и р е к т о́ р и я
дирижабль,dʲ ɪ r ɪ ˈ ʒ a b lʲ
дирижабль,dʲ ɪ r ɪ ˈ ʒ a b lʲ i
дирижёр,д и р и ж ё р
дирижёр,д и р и ж ё р ы
