headword,pronunciation
cera,ˈ t ʃ ɛ r a
cerbero,ˈ t ʃ ɛ r b e r o
cerbiatto,t ʃ e r ˈ b j a t t o
cerbottana,t ʃ e r b o t ˈ t a n a
cercare,t ʃ e r ˈ k a r e
cerchia,ˈ t ʃ e r k j a
cerchietto,t ʃ e r ˈ k j e t t o
cerchio,ˈ t ʃ e r k j o
cercopiteco,t ʃ e r k o p i ˈ t ɛ k o
cerealicolo,t ʃ e r e a ˈ l i k o l o
cerebrale,t ʃ e r e ˈ b r a l e
cerimonia,t ʃ e r i ˈ m ɔ n j a
cerio,ˈ t ʃ ɛ r j o
cernia,ˈ t ʃ ɛ r n j a
cerniera,t ʃ e r ˈ n j ɛ r a
cero,ˈ t ʃ e r o
ceroforo,
cerpire,t ʃ e r ˈ p i r e
cerreti,t ʃ e ˈ r e t i
cerreto,t ʃ e ˈ r e t o
certame,t ʃ e r ˈ t a m e
certamente,t ʃ e r t a ˈ m e n t e
certezza,t ʃ e r ˈ t e t t s a
certezze,t ʃ e r ˈ t e t t s e
certificato,t ʃ e r t i f i ˈ k a t o
certificazione,t ʃ e r t i f i k a ˈ t s j o n e
certo,ˈ t ʃ ɛ r t o
certosino,t ʃ e r t o ˈ z i n o
certosino,t ʃ e r t o ˈ s i n o
ceruleo,t ʃ e ˈ r u l e o
cerume,t ʃ e ˈ r u m e
cervelletto,t ʃ e r v e l ˈ l e t t o
cervello,t ʃ e r ˈ v ɛ l l o
cervellotico,t ʃ e r v e l ˈ l ɔ t i k o
cervice,t ʃ e r ˈ v i t ʃ e
cervo,ˈ t ʃ ɛ r v o
cervogia,t ʃ e r ˈ v ɔ d ʒ a
cesena,t ʃ e ˈ z ɛ n a
cesi,ˈ t ʃ ɛ z i
cesia,ˈ t ʃ ɛ z j a
cesie,ˈ t ʃ ɛ z j e
cesii,ˈ t ʃ ɛ z i
cesio,ˈ t ʃ ɛ z j o
cesoie,t ʃ e ˈ z o j e
cespi,ˈ t ʃ e s p i
cespita,ˈ t ʃ e s p i t a
cespita,ˈ t ʃ ɛ s p i t a
cespite,ˈ t ʃ e s p i t e
cespite,ˈ t ʃ ɛ s p i t e
cespiti,ˈ t ʃ ɛ s p i t i
cespiti,ˈ t ʃ e s p i t i
cespo,ˈ t ʃ e s p o
cespugli,t ʃ e ˈ s p u ʎ ʎ i
cespuglio,t ʃ e ˈ s p u ʎ ʎ o
cessare,t ʃ e s ˈ s a r e
cessionario,t ʃ e s s j o ˈ n a r j o
cesta,ˈ t ʃ e s t a
cesto,ˈ t ʃ e s t o
cetaceo,t ʃ e ˈ t a t ʃ e o
ceto,ˈ t ʃ ɛ t o
cetra,ˈ t ʃ ɛ t r a
cetriolo,t ʃ e t r i ˈ ɔ l o
champagne,ʃ a m ˈ p a ɲ
chemiometria,k e m j o m e ˈ t r i a
chemiotattico,k e m j o ˈ t a t t i k o
cheratoplastica,k ɛ r a t o ˈ p l a s t i k a
cherubino,k e r u ˈ b i n o
chetone,k e ˈ t o n e
chi,ˈ k i
chiacchiera,ˈ k j a k k j e r a
chiacchierare,k j a k k j e ˈ r a r e
chiamata,k j a ˈ m a t a
chiarezza,k j a ˈ r e t t s a
chiarificare,k j a r i f i ˈ k a r e
chiarificazione,k j a r i f i k a ˈ t s j o n e
chiarire,k j a ˈ r i r e
chiaro,ˈ k j a r o
chiasso,ˈ k j a s s o
chiavarda,k j a ˈ v a r d a
chiavare,k j a ˈ v a r e
chiave,ˈ k j a v e
chiavistello,k j a v i ˈ s t ɛ l l o
chiedere,ˈ k j ɛ d e r e
chierichetto,k j e r i ˈ k e t t o
chiesa,ˈ k j ɛ z a
chifel,ˈ k i f e l
chiglia,ˈ k i ʎ ʎ a
chiliasmo,k i l i ˈ a z m o
chiliasta,k i ˈ l j a s t a
chilo,ˈ k i l o
chilogrammo,k i l o ˈ g r a m m o
chilometro,k i ˈ l ɔ m e t r o
chimera,k i ˈ m ɛ r a
chimica,ˈ k i m i k a
chimico,ˈ k i m i k o
china,ˈ k i n a
chiocciola,ˈ k j ɔ t t ʃ o l a
chiodare,k j o ˈ d a r e
chiodo,ˈ k j ɔ d o
chiosa,ˈ k j ɔ z a
chiosare,k j o ˈ z a r e
chiosatore,k j o z a ˈ t o r e
chiosatori,k j o z a ˈ t o r i
chiosatrice,k j o z a t ˈ t r i t ʃ e
chiosatrici,k j o z a t ˈ t r i t ʃ i
chiose,ˈ k j ɔ z e
chiropratica,k i r o ˈ p r a t i k a
chirurgia,k i r u r ˈ d ʒ i a
chirurgico,k i ˈ r u r d ʒ i k o
chissà,k i s ˈ s a
chitarra,k i ˈ t a r r a
chitarrista,k i t a r ˈ r i s t a
chiudere,ˈ k j u d e r e
chiusa,ˈ k j u z a
chiusino,k j u ˈ z i n o
chiuso,ˈ k j u s o o ˈ k j u z o
chiusura,k j u ˈ z u r a
ciabatta,t ʃ a ˈ b a t t a
ciabattata,t ʃ a ˈ b a t t a t a
ciabattino,t ʃ a b a t ˈ t i n o
cialtrone,t ʃ a l ˈ t r o n e
ciambella,t ʃ a m ˈ b ɛ l l a
ciambellano,t ʃ a m b e l ˈ l a n o
cianuro,t ʃ a ˈ n u r o
ciao,ˈ t ʃ a o
ciarlare,t ʃ a r ˈ l a r e
ciarlatano,t ʃ a r l a ˈ t a n o
ciarpame,t ʃ a r ˈ p a m e
ciati,ˈ t ʃ i a t i
ciato,ˈ t ʃ i a t o
ciazi,ˈ t ʃ i a t s j
ciazio,ˈ t ʃ i a t s j o
cibernetica,t ʃ i b e r ˈ n ɛ t i k a
cibernetico,t ʃ i b e r ˈ n ɛ t i k o
cibo,t ʃ iː b o
cicaleccio,t ʃ i k a ˈ l e t ʃ o
cicerchia,t ʃ i ˈ t ʃ e r k j a
ciclamino,t ʃ i k l a ˈ m i n o
ciclico,ˈ t ʃ i k l i k o
ciclistico,t ʃ i ˈ k l i s t i k o
ciclo,ˈ t ʃ i k l o
ciclomotore,t ʃ i k l o m o ˈ t o r e
ciclone,t ʃ i ˈ k l o n e
cicogna,t ʃ i ˈ k o ɲ ɲ a
cieco,ˈ t ʃ ɛ k o
cielo,ˈ t ʃ ɛ l o
cifra,ˈ t ʃ i f r a
cigno,ˈ t ʃ i ɲ ɲ o
cilecca,t ʃ i ˈ l e k k a
ciliegio,t ʃ i ˈ l j ɛ d ʒ o
cilindrica,t ʃ i ˈ l i n d r i k a
cilindriche,t ʃ i ˈ l i n d r i k e
cilindrici,t ʃ i ˈ l i n d r i t ʃ i
cilindrico,t ʃ i ˈ l i n d r i k o
cilindro,t ʃ i ˈ l i n d r o
cimasa,t ʃ i ˈ m a z a
cimase,t ʃ i ˈ m a z a
cimelio,t ʃ i ˈ m ɛ l j o
cimiero,t ʃ i ˈ m j ɛ r o
cimitero,t ʃ i m i ˈ t ɛ r o
cimpanzé,t ʃ i m p a n ˈ t s e
cinabro,t ʃ i ˈ n a b r o
cincischiare,t ʃ i n t ʃ i ˈ s k j a r e
cincischio,t ʃ i n ˈ t ʃ i s k j o
cinema,ˈ t ʃ i n e m a
cinematica,t ʃ i n e ˈ m a t i k a
cinematografare,t ʃ i n e m a t o g r a ˈ f a r e
cinematografaro,t ʃ i n e m a t o g r a ˈ f a r o
cinematografia,t ʃ i n e m a t o g r a ˈ f i a
cinematografico,t ʃ i n e m a t o ˈ g r a f i k o
cinematografo,t ʃ i n e m a ˈ t ɔ g r a f o
cineografo,t ʃ i n e ˈ ɔ g r a f o
cinepresa,t ʃ i n e ˈ p r e z a
cinerario,t ʃ i n e ˈ r a r j o
cinereo,t ʃ i ˈ n ɛ r e o
cinese,t ʃ i ˈ n e z e
cineseria,t ʃ i n e z e ˈ r i a
cineteca,t ʃ i n e ˈ t ɛ k a
cinghia,ˈ t ʃ i n g j a
cinghiale,t ʃ i n ˈ g j a l e
cingolo,ˈ t ʃ i n g o l o
cinguettio,t ʃ i ŋ g w e t ˈ t i o
cinico,ˈ t ʃ i n i k o
cinnamomo,t ʃ i n n a ˈ m ɔ m o
cinocefalo,t ʃ i n o ˈ t ʃ ɛ f a l o
cinofilia,t ʃ i n o f i ˈ l i a
cinquanta,t ʃ i ŋ ˈ k w a n t a
cinquantenario,t ʃ i ŋ k w a n t e ˈ n a r j o
cinquantenne,t ʃ i ŋ k w a n ˈ t ɛ n n e
cinquantesimo,t ʃ i ŋ k w a n ˈ t ɛ z i m o
cinquantina,t ʃ i ŋ k w a n ˈ t i n a
cinque,ˈ t ʃ i ŋ k w e
cinquecento,t ʃ i ŋ k w e ˈ t ʃ ɛ n t o
cinquina,t ʃ i ŋ ˈ k w i n a
cinta,ˈ t ʃ i n t a
cintura,t ʃ i n ˈ t u r a
ciocco,ˈ t ʃ ɔ k k o
cioccolata,t ʃ o k k o ˈ l a t a
cioccolato,t ʃ o k k o ˈ l a t o
ciondolone,t ʃ o n d o ˈ l o n e
ciondoloni,t ʃ o n d o ˈ l o n i
ciotola,ˈ t ʃ ɔ t o l a
ciottolo,ˈ t ʃ ɔ t t o l o
cipolla,t ʃ i ˈ p o l l a
cipresso,t ʃ i ˈ p r ɛ s s o
cipsela,ˈ t ʃ i p s e l a
circo,ˈ t ʃ i r k o
circolare,t ʃ i r k o ˈ l a r e
circolazione,t ʃ i r k o l a ˈ t s j o n e
circoncidere,t ʃ i r k o n ˈ t ʃ i d e r e
circoncisione,t ʃ i r k o n t ʃ i ˈ z j o n e
circondare,t ʃ i r k o n ˈ d a r e
circonferenza,t ʃ i r k o ŋ f e ˈ r ɛ n t s a
circonlocuzione,t ʃ i r k o n l o k u t ˈ t s j o n e
circonvoluzione,t ʃ i r k o n v o l u t ˈ t s j o n e
circoscrivere,t ʃ i r k o ˈ s k r i v e r e
circospetto,t ʃ i r k o ˈ s p ɛ t t o
circostanza,t ʃ i r k o ˈ s t a n t s a
circuito,t ʃ i r ˈ k u j t o
circumnavigazione,t ʃ i r k u m n a v i g a ˈ t s j o n e
cirillico,t ʃ ɪ r ɪ lː ɪ ˌ k o
cispadano,t ʃ i s p a ˈ d a n o
cisposo,t ʃ i ˈ s p o z o
ciste,ˈ t ʃ i s t e
cisterna,t ʃ i ˈ s t ɛ r n a
cisti,ˈ t ʃ i s t i
cistite,t ʃ i s ˈ t i t e
citabile,t ʃ i ˈ t a b i l e
citante,t ʃ i ˈ t a n t e
citara,ˈ t ʃ i t a r a
citare,t ʃ i ˈ t a r e
citaredo,t ʃ i t a ˈ r ɛ d o
citarista,t ʃ i t a ˈ r i s t a
citazione,t ʃ i t a ˈ t s j o n e
citologia,t ʃ i t o l o ˈ d ʒ i a
citologico,t ʃ i t o ˈ l ɔ d ʒ i k o
citoplasma,t ʃ i t o ˈ p l a z m a
citrullo,t ʃ i ˈ t r u l l o
cittadino,t ʃ i t t a ˈ d i n o
citto,ˈ t ʃ i t t o
ciuccio,ˈ t ʃ u t t ʃ o
ciuffo,ˈ t ʃ u f f o
ciurma,ˈ t ʃ u r m a
civetteria,t ʃ i v e t t e ˈ r i a
civile,t ʃ i ˈ v i l e
civilista,t ʃ i v i ˈ l i s t a
civiltà,t ʃ i v i l ˈ t a
ciò,t ʃ ɔ
clamore,k l a ˈ m o r e
clamoroso,k l a m o ˈ r o z o
clandestinamente,k l a n d e s t i n a ˈ m e n t e
clandestino,k l a n d e ˈ s t i n o
clarinetto,k l a r i ˈ n e t t o
classe,ˈ k l a s s e
classicista,k l a s s i ˈ t ʃ i s t a
classico,ˈ k l a s s i k o
classifica,k l a s ˈ s i f i k a
classificatore,k l a s s i f i k a ˈ t o r e
classificazione,k l a s s i f i k a ˈ t s j o n e
classismo,k l a s ˈ s i z m o
clausola,ˈ k l a w z o l a
claustrofobia,k l a u s t r o f o ˈ b i a
claustrofobico,k l a u s t r o ˈ f o b i k o
claustrofobie,k l a u s t r o f o ˈ b i e
clavicembalo,k l a v i ˈ t ʃ e m b a l o
clavicola,k l a ˈ v i k o l a
clemenza,k l e ˈ m ɛ n t s a
clero,ˈ k l ɛ r o
clessidra,k l e s ˈ s i d r a
cliccare,k l i k ˈ k a r e
cliché,k l i ʃ e
cliente,k l i ˈ ɛ n t e
clientelismo,k l i e n t e ˈ l i z m o
clima,ˈ k l i m a
climatico,k l i ˈ m a t i k o
clitica,ˈ k l i t i k a
clitica,ˈ k l iː t i k a
clitiche,ˈ k l i t i k e
clitiche,ˈ k l iː t i k e
clitici,ˈ k l iː t i t ʃ i
clitici,ˈ k l i t i t ʃ i
clitico,ˈ k l iː t i k o
clitico,ˈ k l i t i k o
cloaca,k l o ˈ a k a
clonabile,k l o ˈ n a b i l e
clonaggio,k l o ˈ n a d d ʒ o
clonazione,k l o n a t ˈ t s j o n e
clone,ˈ k l o n e
cloro,ˈ k l ɔ r o
cloroderivato,k l ɔ r o d e r i ˈ v a t o
clorofilla,k l o r o ˈ f i l l a
cloruria,k l o ˈ r u r j a
cloruro,k l o ˈ r u r o
clown,ˈ k l a w n
clownterapia,k l a u̯ n t e r a ˈ p i a
coacervo,k o a ˈ t ʃ ɛ r v o
coagulare,k o a g u ˈ l a r e
coagulazione,k o a g u l a ˈ t s j o n e
coagulo,k o ˈ a g u l o
coalescenza,k o a l e ˈ ʃ ɛ n t s a
coalizione,k o a l i ˈ t s j o n e
coartazione,k o a r t a ˈ t s j o n e
coassiale,k o a s ˈ s j a l e
coatto,k o ˈ a t t o
coazione,k o a ˈ t s j o n e
cobalto,k o ˈ b a l t o
coca,ˈ k ɔ k a
cocaina,k o k a ˈ i n a
cocchio,ˈ k ɔ k k j o
cocchiume,k o k ˈ k j u m e
coccio,ˈ k ɔ t t ʃ o
cocciutaggine,k o t t ʃ u ˈ t a d d ʒ i n e
cocco,ˈ k ɔ k k o
coccodrillo,k o k k o ˈ d r i l l o
coccola,ˈ k ɔ k k o l a
coccolare,k o k k o ˈ l a r e
coccolo,ˈ k ɔ k k o l o
cocomero,k o ˈ k o m e r o
cocuzzolo,k o ˈ k u t t s o l o
coda,ˈ k o d a
codardo,k o ˈ d a r d o
codice,ˈ k ɔ d i t ʃ e
coefficiente,k o e f f i ˈ t ʃ ɛ n t e
coercibile,k o e r ˈ t ʃ i b i l e
coercibilità,k o e r t ʃ i b i l i ˈ t a
coercitivo,k o e r t ʃ i ˈ t i v o
coercizione,k o e r t ʃ i ˈ t s j o n e
coercizioni,k o e r t ʃ i ˈ t s j o n i
coerede,k o e ˈ r ɛ d e
coerente,k o e ˈ r ɛ n t e
coerentista,c o e r e n ˈ t i s t a
coerenza,k o e ˈ r ɛ n t s a
coesione,k o e ˈ z j o n e
coesistente,k o e z i ˈ s t ɛ n t e
coesistenza,k o e z i ˈ s t ɛ n t s a
coesistere,k o e ˈ z i s t e r e
coesivo,k o e ˈ z i v o
coeso,k o ˈ ɛ z o
coetaneo,k o e ˈ t a n e o
coevo,k o ˈ ɛ v o
cogliere,ˈ k ɔ ʎ ʎ e r e
cognitivo,k o ˈ ñ i t i v o
cognizione,k o ɲ ɲ i ˈ t s j o n e
coguaro,k o ˈ g w a r o
coincidere,k o i n ˈ t ʃ i d e r e
coinvolgere,k o i n ˈ v ɔ l d ʒ e r e
coito,ˈ c o i t o
colabrodo,k o l a ˈ b r ɔ d o
colagogo,k o l a ˈ g ɔ g o
colata,k o ˈ l a t a
colazione,k o l a ˈ t s j o n e
colbacco,k o l ˈ b a k k o
coleottero,k o l e ˈ t t e r o
colera,k o ˈ l ɛ r a
colibrì,k o l i ˈ b r i
colite,k o ˈ l i t e
collaboratore,k o l l a b o r a ˈ t o r e
collaborazione,k o l l a b o r a ˈ t s j o n e
collana,k o l ˈ l a n a
collante,k o l ˈ l a n t e
collassare,k o l l a s ˈ s a r e
collasso,k o l ˈ l a s s o
collaterale,k o l l a t e ˈ r a l e
colle,ˈ k ɔ l l e
collega,k o l ˈ l ɛ g a
collegamento,k o l l e g a ˈ m e n t o
collegare,k o l l e ˈ g a r e
collegio,k o l ˈ l ɛ d ʒ o
collera,ˈ k ɔ l l e r a
collerico,k o l ˈ l ɛ r i k o
colletta,k o l ˈ l e t t a
colletta,k o l ˈ l ɛ t t a
collettivismo,k o l l e t t i ˈ v i z m o
collettività,k o l l e t t i v i ˈ t a
collezionare,k o l l e t s j o ˈ n a r e
collina,k o l ˈ l i n a
collisione,k o l l i ˈ z j o n e
collo,ˈ k ɔ l l o
collocamento,k o l l o k a ˈ m e n t o
collocare,k o l l o ˈ k a r e
collocazione,k o l l o k a ˈ t s j o n e
colloidale,k o l l o j ˈ d a l e
colloide,k o l ˈ l ɔ i d e
colloquiale,k o l l o ˈ k w j a l e
colloquio,k o l ˈ l ɔ k w j o
colmatore,k o l m a ˈ t o r e
colmo,ˈ k o l m o
colobio,k o ˈ l ɔ b j o
colomba,k o ˈ l o m b a
colombiano,k o l o m ˈ b j a n o
colon,ˈ k ɔ l o n
colonia,k o ˈ l ɔ n j a
colonialismo,k o l o n j a ˈ l i z m o
colonico,k o ˈ l ɔ n i k o
colonizzare,k o l o n i d ˈ d z a r e
colonizzatore,k o l o n i d d z a ˈ t o r e
colonizzatori,k o l o n i d d z a ˈ t o r i
colonna,k o ˈ l o n n a
colonnello,k o l o n ˈ n ɛ l l o
colono,k o ˈ l ɔ n o
colorante,k o l o ˈ r a n t e
colorare,k o l o ˈ r a r e
colorazione,k o l o r a ˈ t s j o n e
colore,k o ˈ l o r e
colorito,k o l o ˈ r i t o
colossale,k o l o s ˈ s a l e
colosso,k o ˈ l ɔ s s o
colpa,ˈ k o l p a
colpevole,k ɔ l p ɛ ˈ v ɔ l e
colpevoli,k ɔ l p ɛ ˈ v ɔ l i
colpire,k o l ˈ p i r e
colpo,ˈ k o l p o
coltello,k o l ˈ t ɛ l l o
coltivare,k o l t i ˈ v a r e
coltivazione,k o l t i v a ˈ t s j o n e
colto,ˈ k o l t o
coltrice,ˈ k o l t r i t ʃ e
colubro,ˈ k ɔ l u b r o
coma,ˈ k ɔ m a
comandante,k o m a n ˈ d a n t e
comandare,k o m a n ˈ d a r e
comando,k o ˈ m a n d o
comare,k o ˈ m a r e
comatoso,k o m a ˈ t o z o
combattere,k o m ˈ b a t t e r e
combattivo,k o m b a t ˈ t i v o
combinata,k o m b i ˈ n a t a
combinazione,k o m b i n a t ˈ t s j o n e
combine,ˈ k ɒ m b a ɪ n ˈ ˈ o m e n o c o r r e t t a s e g u e n d o l a p r o n u n c i a f r a n c e s e ˈ ˈ k o m ˈ b i n
comburente,k o m b u ˈ r ɛ n t e
combustibile,k o m b u ˈ s t i b i l e
combustibilità,c o m b u s t i b i l i ˈ t a
combustione,k o m b u ˈ s t j o n e
cometa,k o ˈ m e t a
comfort,ˈ k o m f o r t
comico,ˈ k ɔ m i k o
comitale,k o m i ˈ t a l e
comizio,k o ˈ m i t t s j o
commedia,k o m ˈ m ɛ d j a
commediante,k o m m e ˈ d j a n t e
commemorare,k o m m e m o ˈ r a r e
commemorazione,k o m m e m o r a ˈ t s j o n e
commensurare,k o m m e n s u ˈ r a r e
commentare,k o m m e n ˈ t a r e
commentario,k o m m e n ˈ t a r j o
commento,k o m ˈ m ɛ n t o
commento,k o m ˈ m e n t o
commerciale,k o m m e r ˈ t ʃ a l e
commercialista,k o m m e r t ʃ a ˈ l i s t a
commerciare,k o m m e r ˈ t ʃ a r e
commercio,k o m ˈ m ɛ r t ʃ o
commestibile,k o m m e ˈ s t i b i l e
commestibili,k o m m e ˈ s t i b i l i
commiato,k o m ˈ m j a t o
commilitone,k o m m i l i ˈ t o n e
commiserare,k o m i z e ˈ r a r e
commissario,k o m m i s ˈ s a r j o
commissionario,k o m m i s s j o ˈ n a r j o
commissione,k o m m i s ˈ s j o n e
commistione,k o m m i ˈ s t j o n e
commisurazione,k o m m i z u r a ˈ t s j o n e
committente,k o m m i t ˈ t ɛ n t e
commodoro,k o m m o ˈ d ɔ r o
commosso,k o m ˈ m ɔ s s o
commovente,k o m m o ˈ v ɛ n t e
commoventi,k o m m o ˈ v ɛ n t i
commozione,k o m m o ˈ t s j o n e
commutare,k o m m u ˈ t a r e
commutatore,k o m m u t a ˈ t o r e
commutatrice,k o m m u t a ˈ t r i t ʃ e
commutazione,k o m m u t a ˈ t s j o n e
comodo,ˈ k ɔ m o d o
compagine,k o m ˈ p a d ʒ i n e
compagne,k o m ˈ p a ɲ ɲ e
compagnia,k o m p a ˈ ɲ ɲ i a
compagno,k o m ˈ p a ɲ ɲ o
companatico,k o m p a ˈ n a t i k o
comparabile,k o m p a ˈ r a b i l e
comparato,k o m p a ˈ r a t o
compare,c o m ˈ p a r e
comparire,k o m p a ˈ r i r e
compassato,k o m p a s ˈ s a t o
compasso,k o m ˈ p a s s o
compatibile,k o m p a ˈ t i b i l e
compatibilità,k o m p a t i b i l i ˈ t a
compatriota,k o m p a t r i ˈ t a
compattare,ˈ k o m p a t t a r e
compatto,k o m ˈ p a t t o
compendio,k o m ˈ p ɛ n d j o
compenetrare,k o m p e n e ˈ t r a r e
compensazione,k o m p e n s a ˈ t s j o n e
compenso,k o m ˈ p ɛ n s o
comperare,k o m p e ˈ r a r e
competenza,k o m p e ˈ t ɛ n t s a
competitività,k o m p e t i t i v i ˈ t a
competizione,k o m p e t i ˈ t s j o n e
compiacenza,k o m p j a ˈ t ʃ ɛ n t s a
compiacimento,k o m p j a t ʃ i ˈ m e n t o
compianto,k o m ˈ p j a n t o
compiere,ˈ k o m p j e r e
compilare,k o m p i ˈ l a r e
compimenti,k o m p i ˈ m e n t i
compimento,k o m p i ˈ m e n t o
compito,ˈ k o m p i t o
compiutamente,k o m p j u t a ˈ m e n t e
complanare,k o m p l a ˈ n a r e
compleanni,k o m p l e ˈ a n n i
compleanno,k o m p l e ˈ a n n o
complementare,k o m p l e m e n ˈ t a r e
complemento,k o m p l e ˈ m e n t o
complessato,k o m p l e s ˈ s a t o
complessione,k o m p l e s ˈ s j o n e
complessità,k o m p l e s s i ˈ t a
complessivamente,k o m p l e s s i v a ˈ m e n t e
complessivo,k o m p l e s ˈ s i v o
complesso,k o m ˈ p l ε s s o
completamente,k o m p l ɛ t a ˈ m e n t e
completo,k o m ˈ p l ɛ t o
complicatezza,k o m p l i k a ˈ t e t t s a
complicato,k o m p l i ˈ k a t o
complice,ˈ k ɔ m p l i t ʃ e
complicità,k o m p l i t ʃ i ˈ t a
complimento,k o m p l i ˈ m e n t o
complotto,k o m ˈ p l ɔ t t o
compluvio,k o m ˈ p l u v j o
componendo,k o m p o ˈ n ɛ n d o
componenti,k o m p o ˈ n ɛ n t i
comporre,k o m ˈ p o r r e
comportamento,k o m p o r t a ˈ m e n t o
comportare,k o m p o r ˈ t a r e
comportarsi,k o m p o r ˈ t a r s i
composizione,k o m p o z i ˈ t s j o n e
compost,k o m ˈ p o s t
composta,k o m ˈ p o s t a
composto,k o m ˈ p ɔ s t o
composto,k o m ˈ p o s t o
comprare,k o m ˈ p r a r e
compratore,k o m p r a ˈ t o r e
compravendita,k o m p r a ˈ v e n d i t a
comprendere,k o m ˈ p r ɛ n d e r e
comprendonio,k o m p r e n ˈ d ɔ n j o
comprensibile,k o m p r e n ˈ s i b i l e
comprensibilità,k o m p r e n s i b i l i ˈ t a
comprensione,k o m p r e n ˈ s j o n e
comprensioni,k o m p r e n ˈ s j o n i
comprensivo,k o m p r e n ˈ s i v o
compreso,k o m ˈ p r e s o
compressa,k o m ˈ p r ɛ s s a
compresse,k o m ˈ p r ɛ s s e
compressione,k o m p r e s ˈ s j o n e
compressore,k o m p r e s ˈ s o r e
compromesso,k o m p r o ˈ m e s s o
compunto,k o m ˈ p u n t o
computare,k o m p u ˈ t a r e
computazione,k o m p u t a ˈ t s j o n e
computeriale,k o m p j u t e ˈ r i a l e
computerialità,k o m p j u t e r j a l i ˈ t a
computerizzare,k o m p j u t e r i d ˈ d z a r e
computerizzare,k o m p u t e r i d ˈ d z a r e
computisteria,k o m p u t i s t e ˈ r i a
computistico,k o m p u ˈ t i s t i k o
comunale,k o m u ˈ n a l e
comunali,k o m u ˈ n a l i
comunicare,k o m u n i ˈ k a r e
comunicazione,k o m u n i k a ˈ t s j o n e
comunione,k o m u ˈ n j o n e
comunismo,k o m u ˈ n i s m o
comunista,k o m u ˈ n i s t a
comunitario,k o m u n i ˈ t a r j o
comunità,k o m u n i ˈ t a
comunque,k o ˈ m u n k w e
conca,ˈ k o ŋ k a
concatenare,k o ŋ k a t e ˈ n a r e
concatenazione,k o ŋ k a t e n a ˈ t s j o n e
concausa,k o ŋ ˈ k a u z a
concavo,ˈ k ɔ ŋ k a v o
concedere,k o n ˈ t ʃ ɛ d e r e
concentrare,k o n t ʃ e n ˈ t r a r e
concentrazione,k o n t ʃ e n t r a ˈ t s j o n e
concepire,k o n t ʃ e ˈ p i r e
concepito,k o n t ʃ e ˈ p i t o
concerto,k o n ˈ t ʃ ɛ r t o
concessionario,k o n t ʃ e s s j o ˈ n a r j o
concessione,k o n t ʃ e s ˈ s j o n e
concessivo,k o n t ʃ e s ˈ s i v o
concetto,k o n ˈ t ʃ ɛ t t o
conchiglia,k o ŋ ˈ k i ʎ ʎ a
conciare,k o n ˈ t ʃ a r e
conciatore,k o n t ʃ a ˈ t o r e
conciliare,k o n t ʃ i ˈ l j a r e
conciliazione,k o n t ʃ i l j a ˈ t s j o n e
concimare,k o n t ʃ i ˈ m a r e
concime,k o n ˈ t ʃ i m e
concio,ˈ k o n t ʃ o
conciossiaché,k o n t ʃ o s s j a ˈ k e
conciossiacosaché,k o n t ʃ o s s j a k o z a ˈ k e
concisione,k o n t ʃ i ˈ z j o n e
conciso,k o n ˈ t ʃ i z o
concistoro,k o n t ʃ i ˈ s t ɔ r o
concitato,k o n t ʃ i ˈ t a t o
conclave,k o n ˈ k l a v e
concludente,k o n k l u ˈ d ɛ n t e
concludere,k o n ˈ k l u d e r e
conclusione,k o n k l u ˈ z j o n e
concordare,k o ŋ k o r ˈ d a r e
concorde,k o ŋ ˈ k ɔ r d e
concordia,k o ŋ ˈ k ɔ r d j a
concorrente,k o n k o r ˈ r ɛ n t e
concorrenza,k o ŋ k o r ˈ r ɛ n t s a
concreto,k o n ˈ k r ɛ t o
concrezione,k o n k r e ˈ t s j o n e
concupiscente,k o ŋ k u p i ʃ ˈ ʃ ɛ n t e
concussione,k o ŋ k u s ˈ s j o n e
condensatore,k o n d e n s a ˈ t o r e
condensazione,k o n d e n s a ˈ t s j o n e
condiscendente,k o n d i ʃ ʃ e n ˈ d ɛ n t e
condividere,k o n d i ˈ v i d e r e
condivisione,k o n d i v i ˈ s j o n e
condizionamento,k o n d i t s j o n a ˈ m e n t o
condizionare,k o n d i t s j o ˈ n a r e
condizione,k o n d i ˈ t s j o n e
condominio,k o n d o ˈ m i n j o
condono,k o n ˈ d o n o
condotta,k o n ˈ d o t t a
condottiero,k o n d o t ˈ t j ɛ r o
conducibilità,k o n d u t ˈ t o r e
condurre,k o n ˈ d u r r e
conduttore,k o n d u t ˈ t o r e
confederare,k o ŋ f e d e ˈ r a r e
conferenza,k o ŋ f e ˈ r ɛ n t s a
conferire,k o ŋ f e ˈ r i r e
conferma,k o n ˈ f e r m a
confermare,k o ŋ f e r ˈ m a r e
confessare,k o ŋ f e s ˈ s a r e
confessionale,k o n f e s s j o ˈ n a l e
confessione,k o ŋ f e s ˈ s j o n e
confettura,k o n f e t ˈ t u r a
conficcare,k o ŋ f i k ˈ k a r e
configurazione,k o ŋ f i g u r a ˈ t s j o n e
confinare,k o ŋ f i ˈ n a r e
confine,k o n ˈ f i n e
confissi,k o n ˈ f i s s i
confisso,k o n ˈ f i s s o
conflagrare,k o ŋ f l a ˈ g r a r e
conflagrazione,k o ŋ f l a g r a ˈ t s j o n e
conflitto,k o n ˈ f l i t t o
confondere,k o n ˈ f o n d e r e
conformare,k o ŋ f o r ˈ m a r e
