headword,pronunciation
DIRTIER,ˈ d ɝː t iː ɝ
DIRTIEST,ˈ d ɝː t iː ə s t
DIRTY,ˈ d ɝː t i
DIRUSSO,d ɪ ˈ ɹ uː ˌ s oʊ
DIS,ˈ d ɪ s
DISA,ˈ d ɪ s ə
DISABATINO,d ɪ s ɑː b ɑː ˈ t iː n oʊ
DISABATO,d ɪ s ɑː ˈ b ɑː t oʊ
DISABILITIES,"d ɪ s ə ˈ b ɪ l ə t iː z , d ɪ s ə ˈ b ɪ l ɪ t iː z"
DISABILITY,"ˌ d ɪ s ə ˈ b ɪ l ɪ t i , d ɪ s ə ˈ b ɪ l ɪ t iː z"
DISABLE,d ɪ ˈ s eɪ b ə l
DISABLED,d ɪ ˈ s eɪ b ə l d
DISABLES,d ɪ ˈ s eɪ b ə l z
DISABLING,"d ɪ ˈ s eɪ b ə l ɪ ŋ , ˌ d ɪ ˈ s eɪ b l ɪ ŋ"
DISABUSE,"d ɪ s ə ˈ b j uː s , d ɪ s ə ˈ b j uː z"
DISABUSED,d ɪ s ə ˈ b j uː z d
DISABUSES,d ɪ s ə ˈ b j uː s ɪ z
DISADVANTAGE,"ˌ d ɪ s ə d ˈ v æ n t ɪ d ʒ , ˌ d ɪ s ə d ˈ v æ n ɪ d ʒ"
DISADVANTAGED,"d ɪ s ə d ˈ v æ n t ɪ d ʒ d , ˌ d ɪ s ə d ˈ v æ n ɪ d ʒ d"
DISADVANTAGEOUS,ˌ d ɪ ˌ s æ d ˌ v æ n ˈ t eɪ d ʒ ə s
DISADVANTAGES,"ˌ d ɪ s ə d ˈ v æ n t ɪ d ʒ ɪ z , ˌ d ɪ s ə d ˈ v æ n ɪ d ʒ z"
DISAFFECT,ˌ d ɪ s ə ˈ f ɛ k t
DISAFFECTED,ˌ d ɪ s ə ˈ f ɛ k t ɪ d
DISAFFECTION,ˌ d ɪ s ə ˈ f ɛ k ʃ ə n
DISAGREE,d ɪ s ə ˈ g ɹ iː
DISAGREEABLE,ˌ d ɪ s ə ˈ g ɹ iː ə b ə l
DISAGREED,d ɪ s ə ˈ g ɹ iː d
DISAGREEING,d ɪ s ə ˈ g ɹ iː ɪ ŋ
DISAGREEMENT,d ɪ s ə ˈ g ɹ iː m ə n t
DISAGREEMENTS,ˌ d ɪ s ə ˈ g ɹ iː m ə n t s
DISAGREES,d ɪ s ə ˈ g ɹ iː z
DISALLOW,ˌ d ɪ s ə ˈ l aʊ
DISALLOWANCE,ˌ d ɪ s ə ˈ l aʊ ə n s
DISALLOWANCES,ˌ d ɪ s ə ˈ l aʊ ə n s ɪ z
DISALLOWED,ˌ d ɪ s ə ˈ l aʊ d
DISALLOWING,d ɪ s ə ˈ l aʊ ɪ ŋ
DISALVO,d ɪ ˈ s ɑː l ˌ v oʊ
DISANO,d ɪ ˈ s ɑː n oʊ
DISANTI,d ɪ ˈ s æ n ˌ t iː
DISANTIS,d ɪ ˈ s ɑː n t ɪ s
DISANTO,d ɪ ˈ s æ n ˌ t oʊ
DISAPPEAR,"ˌ d ɪ s ə ˈ p ɪ ɹ , ˌ d ɪ s ə ˈ p iː ɹ"
DISAPPEARANCE,"ˌ d ɪ s ə ˈ p ɪ ɹ ə n s , ˌ d ɪ s ə ˈ p iː ɹ ə n s"
DISAPPEARANCES,"ˌ d ɪ s ə ˈ p ɪ ɹ ə n s ɪ z , ˌ d ɪ s ə ˈ p iː ɹ ə n s ɪ z"
DISAPPEARED,"ˌ d ɪ s ə ˈ p ɪ ɹ d , ˌ d ɪ s ə ˈ p iː ɹ d"
DISAPPEARING,"ˌ d ɪ s ə ˈ p ɪ ɹ ɪ ŋ , ˌ d ɪ s ə ˈ p iː ɹ ɪ ŋ"
DISAPPEARS,"ˌ d ɪ s ə ˈ p ɪ ɹ z , ˌ d ɪ s ə ˈ p iː ɹ z"
DISAPPOINT,ˌ d ɪ s ə ˈ p ɔɪ n t
DISAPPOINTED,"ˌ d ɪ s ə ˈ p ɔɪ n t ɪ d , ˌ d ɪ s ə ˈ p ɔɪ n ɪ d"
DISAPPOINTING,"ˌ d ɪ s ə ˈ p ɔɪ n t ɪ ŋ , ˌ d ɪ s ə ˈ p ɔɪ n ɪ ŋ"
DISAPPOINTINGLY,"d ɪ s ə ˈ p ɔɪ n t ɪ ŋ l i , d ɪ s ə ˈ p ɔɪ n ɪ ŋ l i"
DISAPPOINTMENT,ˌ d ɪ s ə ˈ p ɔɪ n t m ə n t
DISAPPOINTMENTS,d ɪ s ə ˈ p ɔɪ n t m ə n t s
DISAPPOINTS,ˌ d ɪ s ə ˈ p ɔɪ n t s
DISAPPROVAL,d ɪ s ə ˈ p ɹ uː v ə l
DISAPPROVE,ˌ d ɪ s ə ˈ p ɹ uː v
DISAPPROVED,ˌ d ɪ s ə ˈ p ɹ uː v d
DISAPPROVES,d ɪ s ə ˈ p ɹ uː v z
DISAPPROVING,d ɪ s ə ˈ p ɹ uː v ɪ ŋ
DISARM,d ɪ ˈ s ɑː ɹ m
DISARMAMENT,d ɪ ˈ s ɑː ɹ m ə m ə n t
DISARMED,d ɪ ˈ s ɑː ɹ m d
DISARMING,d ɪ ˈ s ɑː ɹ m ɪ ŋ
DISARMINGLY,d ɪ ˈ s ɑː ɹ m ɪ ŋ l i
DISARRAY,"ˌ d ɪ s ɝ ˈ eɪ , ˌ d ɪ s ə ˈ ɹ eɪ"
DISASSEMBLE,ˌ d ɪ s ə ˈ s ɛ m b ə l
DISASSEMBLED,ˌ d ɪ s ə ˈ s ɛ m b ə l d
DISASSOCIATE,"ˌ d ɪ s ə ˈ s oʊ ʃ iː eɪ t , ˌ d ɪ s ə ˈ s oʊ s iː eɪ t"
DISASSOCIATED,"ˌ d ɪ s ə ˈ s oʊ ʃ iː eɪ t ə d , ˌ d ɪ s ə ˈ s oʊ s iː eɪ t ə d"
DISASTER,d ɪ ˈ z æ s t ɝ
DISASTERS,d ɪ ˈ z æ s t ɝ z
DISASTROUS,d ɪ ˈ z æ s t ɹ ə s
DISASTROUSLY,d ɪ ˈ z æ s t ɹ ə s l i
DISAVOW,ˌ d ɪ s ə ˈ v aʊ
DISAVOWED,ˌ d ɪ s ə ˈ v aʊ d
DISAVOWING,d ɪ s ə ˈ v aʊ ɪ ŋ
DISBAND,d ɪ s ˈ b æ n d
DISBANDED,d ɪ s ˈ b æ n d ɪ d
DISBANDING,d ɪ s ˈ b æ n d ɪ ŋ
DISBAR,ˌ d ɪ s ˈ b ɑː ɹ
DISBARMENT,ˌ d ɪ s ˈ b ɑː ɹ m ə n t
DISBARRED,d ɪ s ˈ b ɑː ɹ d
DISBELIEF,ˌ d ɪ s b ɪ ˈ l iː f
DISBELIEVE,d ɪ s b ɪ ˈ l iː v
DISBELIEVING,d ɪ s b ɪ ˈ l iː v ɪ ŋ
DISBRO,ˈ d ɪ s b ɹ oʊ
DISBROW,ˈ d ɪ s b ɹ aʊ
DISBURSE,d ɪ s ˈ b ɝː s
DISBURSED,d ɪ s ˈ b ɝː s t
DISBURSEMENT,d ɪ s ˈ b ɝː s m ə n t
DISBURSEMENTS,d ɪ s ˈ b ɝː s m ə n t s
DISBURSING,d ɪ s ˈ b ɝː s ɪ ŋ
DISC,ˈ d ɪ s k
DISCARD,d ɪ ˈ s k ɑː ɹ d
DISCARDED,d ɪ ˈ s k ɑː ɹ d ɪ d
DISCARDING,d ɪ ˈ s k ɑː ɹ d ɪ ŋ
DISCARDS,d ɪ ˈ s k ɑː ɹ d z
DISCENZA,d ɪ s ˈ t ʃ ɛ n z ɑː
DISCERN,d ɪ ˈ s ɝː n
DISCERNABLY,d ɪ ˈ s ɝː n ə b l i
DISCERNED,d ɪ ˈ s ɝː n d
DISCERNIBLE,d ɪ ˈ s ɝː n ə b ə l
DISCERNING,d ɪ ˈ s ɝː n ɪ ŋ
DISCERNMENT,d ɪ ˈ s ɝː n m ə n t
DISCERNS,d ɪ ˈ s ɝː n z
DISCH,ˈ d ɪ ʃ
DISCHARGE,"d ɪ s ˈ t ʃ ɑː ɹ d ʒ , ˈ d ɪ s ˌ t ʃ ɑː ɹ d ʒ"
DISCHARGED,"d ɪ s ˈ t ʃ ɑː ɹ d ʒ d , ˈ d ɪ s ˌ t ʃ ɑː ɹ d ʒ d"
DISCHARGES,"d ɪ s ˈ t ʃ ɑː ɹ d ʒ ə z , ˈ d ɪ s ˌ t ʃ ɑː ɹ d ʒ ə z"
DISCHARGING,"d ɪ s ˈ t ʃ ɑː ɹ d ʒ ɪ ŋ , ˈ d ɪ s ˌ t ʃ ɑː ɹ d ʒ ɪ ŋ"
DISCHER,ˈ d ɪ ʃ ɝ
DISCHINGER,ˈ d ɪ ʃ ɪ n d ʒ ɝ
DISCIPLE,d ɪ ˈ s aɪ p ə l
DISCIPLES,d ɪ ˈ s aɪ p ə l z
DISCIPLINARIAN,ˌ d ɪ s ɪ p l ɪ ˈ n ɛ ɹ iː ə n
DISCIPLINARIANS,ˌ d ɪ s ɪ p l ɪ ˈ n ɛ ɹ iː ə n z
DISCIPLINARY,ˈ d ɪ s ə p l ə ˌ n ɛ ɹ i
DISCIPLINE,ˈ d ɪ s ə p l ə n
DISCIPLINED,ˈ d ɪ s ə p l ə n d
DISCIPLINES,ˈ d ɪ s ə p l ə n z
DISCIPLINING,ˈ d ɪ s ə p l ə n ɪ ŋ
DISCLAIM,d ɪ s ˈ k l eɪ m
DISCLAIMED,d ɪ s ˈ k l eɪ m d
DISCLAIMER,d ɪ s ˈ k l eɪ m ɝ
DISCLAIMERS,d ɪ s ˈ k l eɪ m ɝ z
DISCLAIMING,d ɪ s ˈ k l eɪ m ɪ ŋ
DISCLAIMS,d ɪ s ˈ k l eɪ m z
DISCLAND,ˈ d ɪ s ˌ k l æ n d
DISCLOSE,d ɪ s ˈ k l oʊ z
DISCLOSED,d ɪ s ˈ k l oʊ z d
DISCLOSES,d ɪ s ˈ k l oʊ z ɪ z
DISCLOSING,d ɪ s ˈ k l oʊ z ɪ ŋ
DISCLOSURE,d ɪ s ˈ k l oʊ ʒ ɝ
DISCLOSURES,d ɪ s ˈ k l oʊ ʒ ɝ z
DISCO,ˈ d ɪ s k oʊ
DISCOGRAPHY,d ɪ ˈ s k ɔ g ɹ ə f i
DISCOLOR,d ɪ ˈ s k ʌ l ɝ
DISCOLORATION,d ɪ ˌ s k ə l ɝ ˈ eɪ ʃ ə n
DISCOLORATIONS,d ɪ ˌ s k ə l ɝ ˈ eɪ ʃ ə n z
DISCOLORED,d ɪ ˈ s k ʌ l ɝ d
DISCOLORS,d ɪ ˈ s k ʌ l ɝ z
DISCOMBOBULATE,ˌ d ɪ s k ə m ˈ b ɔ b j uː l eɪ t
DISCOMBOBULATED,ˌ d ɪ s k ə m ˈ b ɔ b j uː l eɪ t ə d
DISCOMBOBULATES,ˌ d ɪ s k ə m ˈ b ɔ b j uː l eɪ t s
DISCOMBOBULATING,ˌ d ɪ s k ə m ˈ b ɔ b j uː l eɪ t ɪ ŋ
DISCOMFORT,d ɪ ˈ s k ʌ m f ɝ t
DISCONCERT,ˌ d ɪ s k ə n ˈ s ɝː t
DISCONCERTING,ˌ d ɪ s k ə n ˈ s ɝː t ɪ ŋ
DISCONNECT,d ɪ s k ə ˈ n ɛ k t
DISCONNECTED,ˌ d ɪ s k ə ˈ n ɛ k t ɪ d
DISCONNECTING,ˌ d ɪ s k ə ˈ n ɛ k t ɪ ŋ
DISCONNECTION,ˌ d ɪ s k ə ˈ n ɛ k ʃ ə n
DISCONNECTS,d ɪ s k ə ˈ n ɛ k t s
DISCONTENT,d ɪ s k ə n ˈ t ɛ n t
DISCONTENTED,ˌ d ɪ s k ə n ˈ t ɛ n t ɪ d
DISCONTENTEDLY,ˌ d ɪ s k ə n ˈ t ɛ n t ɪ d l i
DISCONTENTEDNESS,ˌ d ɪ s k ə n ˈ t ɛ n t ɪ d n ə s
DISCONTENTS,ˌ d ɪ s k ə n ˈ t ɛ n t s
DISCONTINUANCE,ˌ d ɪ s k ə n ˈ t ɪ n j uː ə n s
DISCONTINUATION,ˌ d ɪ s k ə n ˌ t ɪ n j uː ˈ eɪ ʃ ə n
DISCONTINUE,d ɪ s k ə n ˈ t ɪ n j uː
DISCONTINUED,d ɪ s k ə n ˈ t ɪ n j uː d
DISCONTINUING,d ɪ s k ə n ˈ t ɪ n j uː ɪ ŋ
DISCONTINUITY,d ɪ ˌ s k ɑː n t ɪ ˈ n uː ɪ t i
DISCORD,ˈ d ɪ s k ɔ ɹ d
DISCORDANT,d ɪ ˈ s k ɔ ɹ d ə n t
DISCOS,ˈ d ɪ s k oʊ z
DISCOTHEQUE,ˈ d ɪ s k oʊ ˌ t ɛ k
DISCOTHEQUES,ˈ d ɪ s k oʊ ˌ t ɛ k s
DISCOUNT,"d ɪ ˈ s k aʊ n t , ˈ d ɪ s k aʊ n t"
DISCOUNTABLE,ˈ d ɪ ˌ s k aʊ n t ə b ə l
DISCOUNTED,"ˈ d ɪ ˌ s k aʊ n t ɪ d , ˈ d ɪ ˌ s k aʊ n ɪ d"
DISCOUNTER,ˈ d ɪ ˌ s k aʊ n t ɝ
DISCOUNTERS,"d ɪ ˈ s k aʊ n t ɝ z , ˈ d ɪ ˌ s k aʊ n ɝ ɹ z"
DISCOUNTING,"ˈ d ɪ ˌ s k aʊ n t ɪ ŋ , ˈ d ɪ ˌ s k aʊ n ɪ ŋ"
DISCOUNTS,"d ɪ ˈ s k aʊ n t s , ˈ d ɪ ˌ s k aʊ n t s"
DISCOURAGE,d ɪ ˈ s k ɝː ɪ d ʒ
DISCOURAGED,d ɪ ˈ s k ɝː ɪ d ʒ d
DISCOURAGEMENT,d ɪ ˈ s k ɝː ɪ d ʒ m ə n t
DISCOURAGES,d ɪ ˈ s k ɝː ɪ d ʒ ɪ z
DISCOURAGING,d ɪ ˈ s k ɝː ɪ d ʒ ɪ ŋ
DISCOURSE,ˈ d ɪ s k ɔ ɹ s
DISCOURSES,"d ɪ ˈ s k ɔ ɹ s ɪ z , ˈ d ɪ s k ɔ ɹ s ɪ z"
DISCOVER,d ɪ ˈ s k ʌ v ɝ
DISCOVERABLE,"d ɪ ˈ s k ʌ v ɝ ə b ə l , d ɪ ˈ s k ʌ v ɹ ə b ə l"
DISCOVERED,d ɪ ˈ s k ʌ v ɝ d
DISCOVERER,d ɪ ˈ s k ʌ v ə ɹ ɝ
DISCOVERERS,d ɪ ˈ s k ʌ v ə ɹ ɝ z
DISCOVERIES,d ɪ ˈ s k ʌ v ɝ iː z
DISCOVERING,d ɪ ˈ s k ʌ v ɝ ɪ ŋ
DISCOVERS,d ɪ ˈ s k ʌ v ɝ z
DISCOVERY,"d ɪ ˈ s k ʌ v ɝ i , d ɪ ˈ s k ʌ v ɹ i , ˌ d ɪ ˈ s k ʌ v ɹ i"
DISCOVERY'S,"d ɪ ˈ s k ʌ v ɝ iː z , d ɪ ˈ s k ʌ v ɹ iː z"
DISCREDIT,d ɪ ˈ s k ɹ ɛ d ə t
DISCREDITED,d ɪ ˈ s k ɹ ɛ d ɪ t ɪ d
DISCREDITING,d ɪ ˈ s k ɹ ɛ d ə t ɪ ŋ
DISCREDITS,d ɪ ˈ s k ɹ ɛ d ə t s
DISCREET,d ɪ ˈ s k ɹ iː t
DISCREETLY,d ɪ ˈ s k ɹ iː t l i
DISCREPANCIES,d ɪ ˈ s k ɹ ɛ p ə n s iː z
DISCREPANCY,d ɪ ˈ s k ɹ ɛ p ə n s i
DISCRETE,d ɪ ˈ s k ɹ iː t
DISCRETION,d ɪ ˈ s k ɹ ɛ ʃ ə n
DISCRETIONARY,d ɪ ˈ s k ɹ ɛ ʃ ə ˌ n ɛ ɹ i
DISCRETIONS,d ɪ ˈ s k ɹ ɛ ʃ ə n z
DISCRIMINATE,d ɪ ˈ s k ɹ ɪ m ə ˌ n eɪ t
DISCRIMINATED,"d ɪ ˈ s k ɹ ɪ m ə ˌ n eɪ t ə d , d ɪ ˈ s k ɹ ɪ m ə ˌ n eɪ t ɪ d"
DISCRIMINATES,d ɪ ˈ s k ɹ ɪ m ə ˌ n eɪ t s
DISCRIMINATING,d ɪ ˈ s k ɹ ɪ m ə ˌ n eɪ t ɪ ŋ
DISCRIMINATION,d ɪ ˌ s k ɹ ɪ m ə ˈ n eɪ ʃ ə n
DISCRIMINATIVE,d ɪ ˈ s k ɹ ɪ m ə n ə t ɪ v
DISCRIMINATORY,d ɪ ˈ s k ɹ ɪ m ə n ə ˌ t ɔ ɹ i
disks,ˈ d ɪ s k s
DISCURSIVE,d ɪ ˈ s k ɝː s ɪ v
DISCUS,ˈ d ɪ s k ə s
DISCUSS,d ɪ ˈ s k ʌ s
DISCUSSED,d ɪ ˈ s k ʌ s t
DISCUSSES,"d ɪ ˈ s k ʌ s ə z , d ɪ ˈ s k ʌ s ɪ z"
DISCUSSING,d ɪ ˈ s k ʌ s ɪ ŋ
DISCUSSION,d ɪ ˈ s k ʌ ʃ ə n
DISCUSSIONS,d ɪ ˈ s k ʌ ʃ ə n z
DISDAIN,d ɪ s ˈ d eɪ n
DISDAINED,d ɪ s ˈ d eɪ n d
DISDAINFUL,d ɪ s ˈ d eɪ n f ə l
DISDAINING,d ɪ s ˈ d eɪ n ɪ ŋ
DISDAINS,d ɪ s ˈ d eɪ n z
DISE,"ˈ d aɪ s , ˈ d aɪ z"
DISEASE,d ɪ ˈ z iː z
DISEASE'S,d ɪ ˈ z iː z ɪ z
DISEASED,d ɪ ˈ z iː z d
DISEASES,"d ɪ ˈ z iː z ə z , d ɪ ˈ z iː z ɪ z"
DISEMBARK,d ɪ s ɛ m ˈ b ɑː ɹ k
DISEMBARKATION,d ɪ ˌ s ɛ m b ɑː ɹ ˈ k eɪ ʃ ə n
DISEMBODIED,d ɪ s ɪ ˈ b ɑː d iː d
DISEMBODY,d ɪ s ɪ ˈ b ɑː d i
DISENCHANTED,"d ɪ s ɪ n ˈ t ʃ æ n t ɪ d , d ɪ s ɪ n ˈ t ʃ æ n ɪ d"
DISENCHANTMENT,d ɪ s ɪ n ˈ t ʃ æ n t m ə n t
DISENFRANCHISE,d ɪ s ɪ n ˈ f ɹ æ n ˌ t ʃ aɪ z
DISENFRANCHISED,d ɪ s ɪ n ˈ f ɹ æ n ˌ t ʃ aɪ z d
DISENFRANCHISEMENT,d ɪ s ɪ n ˈ f ɹ æ n ˌ t ʃ aɪ z m ə n t
DISENGAGE,d ɪ s ɪ n ˈ g eɪ d ʒ
DISENGAGED,d ɪ s ɪ n ˈ g eɪ d ʒ d
DISENGAGEMENT,d ɪ s ɪ n ˈ g eɪ d ʒ m ə n t
DISENGAGING,d ɪ s ɪ n ˈ g eɪ d ʒ ɪ ŋ
DISENTANGLE,ˌ d ɪ s ə n ˈ t æ ŋ g ə l
DISEQUILIBRIUM,d ɪ ˌ s iː k w ə ˈ l ɪ b ɹ iː ə m
DISESTABLISHMENT,d ɪ s ɪ ˈ s t æ b l ɪ ʃ m ə n t
DISFAVOR,d ɪ s ˈ f eɪ v ɝ
DISFAVORING,d ɪ s ˈ f eɪ v ɝ ɪ ŋ
DISFIGURE,d ɪ s ˈ f ɪ g j ɝ
DISFIGURED,d ɪ s ˈ f ɪ g j ɝ d
DISFIGUREMENT,d ɪ s ˈ f ɪ g j ɝ m ɛ n t
DISFIGURING,d ɪ s ˈ f ɪ g j ɝ ɪ ŋ
DISGORGE,d ɪ s ˈ g ɔ ɹ d ʒ
DISGORGED,d ɪ s ˈ g ɔ ɹ d ʒ d
DISGORGEMENT,d ɪ s ˈ g ɔ ɹ d ʒ m ə n t
DISGRACE,d ɪ s ˈ g ɹ eɪ s
DISGRACED,d ɪ s ˈ g ɹ eɪ s t
DISGRACEFUL,d ɪ s ˈ g ɹ eɪ s f ə l
DISGRUNTLED,"d ɪ s ˈ g ɹ ʌ n t ə l d , d ɪ s ˈ g ɹ ʌ n ə l d"
DISGRUNTLEMENT,d ɪ s ˈ g ɹ ʌ n t ə l m ə n t
DISGRUNTLING,"d ɪ s ˈ g ɹ ʌ n t ə l ɪ ŋ , d ɪ s ˈ g ɹ ʌ n t l ɪ ŋ"
DISGUISE,d ɪ s ˈ g aɪ z
DISGUISED,d ɪ s ˈ g aɪ z d
DISGUISES,d ɪ s ˈ g aɪ z ɪ z
DISGUISING,d ɪ s ˈ g aɪ z ɪ ŋ
DISGUST,d ɪ s ˈ g ʌ s t
DISGUSTED,"d ɪ s ˈ g ʌ s t ə d , d ɪ s ˈ g ʌ s t ɪ d"
DISGUSTING,d ɪ s ˈ g ʌ s t ɪ ŋ
DISGUSTS,d ɪ s ˈ g ʌ s t s
DISH,ˈ d ɪ ʃ
DISHARMONY,d ɪ s ˈ h ɑː ɹ m ə n i
DISHAROON,d ɪ ʃ ɝ ˈ uː n
DISHAW,ˈ d ɪ ˌ ʃ ɔ
DISHEARTENED,d ɪ s ˈ h ɑː ɹ t ə n d
DISHEARTENING,"d ɪ s ˈ h ɑː ɹ t ə n ɪ ŋ , ˌ d ɪ s ˈ h ɑː ɹ t n ɪ ŋ"
DISHED,ˈ d ɪ ʃ t
DISHER,ˈ d ɪ ʃ ɝ
DISHES,"ˈ d ɪ ʃ ə z , ˈ d ɪ ʃ ɪ z"
DISHEVEL,d ɪ ˈ ʃ ɛ v ə l
DISHEVELED,d ɪ ˈ ʃ ɛ v ə l d
DISHING,ˈ d ɪ ʃ ɪ ŋ
DISHMAN,ˈ d ɪ ʃ m ə n
DISHNER,ˈ d ɪ ʃ n ɝ
DISHON,ˈ d ɪ s ə n
DISHONEST,d ɪ ˈ s ɑː n ə s t
DISHONESTLY,d ɪ ˈ s ɔ n ə s t l i
DISHONESTY,d ɪ ˈ s ɑː n ə s t i
DISHONG,ˈ d ɪ s ɔ ŋ
DISHONOR,d ɪ ˈ s ɑː n ɝ
DISHONORABLE,d ɪ ˈ s ɑː n ɝ ə b ə l
DISHONORED,d ɪ ˈ s ɑː n ɝ d
DISHWASHER,ˈ d ɪ ˌ ʃ w ɑː ʃ ɝ
DISHWASHERS,ˈ d ɪ ˌ ʃ w ɑː ʃ ɝ z
DISHWASHING,ˈ d ɪ ˌ ʃ w ɑː ʃ ɪ ŋ
DISILLUSION,ˌ d ɪ s ɪ ˈ l uː ʒ ə n
DISILLUSIONED,ˌ d ɪ s ɪ ˈ l uː ʒ ə n d
DISILLUSIONING,ˌ d ɪ s ɪ ˈ l uː ʒ ə n ɪ ŋ
DISILLUSIONMENT,ˌ d ɪ s ɪ ˈ l uː ʒ ə n m ə n t
DISILVESTRO,d ɪ s iː l ˈ v ɛ s t ɹ oʊ
DISIMONE,d ɪ s iː ˈ m oʊ n i
DISINCENTIVE,ˌ d ɪ s ɪ n ˈ s ɛ n t ɪ v
DISINCENTIVES,ˌ d ɪ s ɪ n ˈ s ɛ n t ɪ v z
DISINCLINATION,d ɪ s ɪ n k l ə ˈ n eɪ ʃ ə n
DISINCLINE,ˌ d ɪ s ɪ n ˈ k l aɪ n
DISINCLINED,ˌ d ɪ s ɪ n ˈ k l aɪ n d
DISINFECT,d ɪ s ɪ n ˈ f ɛ k t
DISINFECTANT,d ɪ s ɪ n ˈ f ɛ k t ə n t
DISINFECTANTS,d ɪ s ɪ n ˈ f ɛ k t ə n t s
DISINFECTION,d ɪ s ɪ n ˈ f ɛ k ʃ ə n
DISINFLATE,ˌ d ɪ s ɪ n ˈ f l eɪ t
DISINFLATION,ˌ d ɪ s ɪ n ˈ f l eɪ ʃ ə n
DISINFLATIONARY,ˌ d ɪ s ɪ n ˈ f l eɪ ʃ ə ˌ n ɛ ɹ i
DISINFORM,d ɪ s ɪ n ˈ f ɔ ɹ m
DISINFORMATION,d ɪ ˌ z ɪ n f ɝ ˈ m eɪ ʃ ə n
DISINGENUOUS,d ɪ s ɪ n ˈ d ʒ ɛ n j uː ə s
DISINGENUOUSNESS,ˌ d ɪ s ɪ n ˈ d ʒ ɛ n j uː ə s n ə s
DISINTEGRATE,d ɪ ˈ s ɪ n t ə ˌ g ɹ eɪ t
DISINTEGRATED,d ɪ ˈ s ɪ n t ə ˌ g ɹ eɪ t ɪ d
DISINTEGRATES,d ɪ ˈ s ɪ n t ə ˌ g ɹ eɪ t s
DISINTEGRATING,d ɪ ˈ s ɪ n t ə ˌ g ɹ eɪ t ɪ ŋ
DISINTEGRATION,"d ɪ ˌ s ɪ n t ə ˈ g ɹ eɪ ʃ ə n , d ɪ ˌ s ɪ n ə ˈ g ɹ eɪ ʃ ə n"
DISINTEREST,d ɪ ˈ s ɪ n t ɝ ə s t
DISINTERESTED,"d ɪ ˈ s ɪ n t ɹ ɪ s t ɪ d , d ɪ ˈ s ɪ n ɹ ɪ s t ɪ d"
DISINVESTMENT,"d ɪ s ɪ n ˈ v ɛ s t m ə n t , d ɪ s ɪ n ˈ v ɛ s m ə n t"
DISINVITE,d ɪ s ɪ n ˈ v aɪ t
DISINVITED,ˌ d ɪ ˌ s ɪ n ˈ v aɪ t ɪ d
DISJOINT,d ɪ s ˈ d ʒ ɔɪ n t
DISJOINTED,d ɪ s ˈ d ʒ ɔɪ n t ɪ d
DISK,ˈ d ɪ s k
DISKETTE,d ɪ ˈ s k ɛ t
DISKETTES,d ɪ ˈ s k ɛ t s
DISKIN,ˈ d ɪ s k ɪ n
DISKLESS,ˈ d ɪ s k l ə s
DISKS,ˈ d ɪ s k s
DISLIKE,d ɪ ˈ s l aɪ k
DISLIKED,d ɪ ˈ s l aɪ k t
DISLIKES,d ɪ ˈ s l aɪ k s
DISLIKING,d ɪ ˈ s l aɪ k ɪ ŋ
DISLOCATE,ˈ d ɪ s l oʊ k eɪ t
DISLOCATED,ˈ d ɪ s l oʊ k eɪ t ɪ d
DISLOCATION,d ɪ ˈ s l oʊ ˈ k eɪ ʃ ə n
DISLOCATIONS,d ɪ ˈ s l oʊ ˈ k eɪ ʃ ə n z
DISLODGE,d ɪ ˈ s l ɑː d ʒ
DISLODGED,d ɪ ˈ s l ɑː d ʒ d
DISLODGING,d ɪ ˈ s l ɑː d ʒ ɪ ŋ
DISLOYAL,d ɪ ˈ s l ɔɪ ə l
DISLOYALTY,d ɪ ˈ s l ɔɪ ə l t i
DISMAL,ˈ d ɪ z m ə l
DISMALLY,ˈ d ɪ z m ə l i
DISMANTLE,"d ɪ ˈ s m æ n t ə l , d ɪ ˈ s m æ n ə l"
DISMANTLED,"d ɪ ˈ s m æ n t ə l d , d ɪ ˈ s m æ n ə l d"
DISMANTLEMENT,d ɪ ˈ s m æ n t ə l m ə n t
DISMANTLES,d ɪ ˈ s m æ n t ə l z
DISMANTLING,"d ɪ ˈ s m æ n t ə l ɪ ŋ , d ɪ ˈ s m æ n ə l ɪ ŋ , ˌ d ɪ ˈ s m æ n t l ɪ ŋ"
DISMAY,d ɪ ˈ s m eɪ
DISMAYED,d ɪ ˈ s m eɪ d
DISMAYING,d ɪ ˈ s m eɪ ɪ ŋ
DISMAYS,d ɪ ˈ s m eɪ z
DISMEMBER,d ɪ ˈ s m ɛ m b ɝ
DISMEMBERED,d ɪ ˈ s m ɛ m b ɝ d
DISMEMBERING,d ɪ ˈ s m ɛ m b ɝ ɪ ŋ
DISMEMBERMENT,d ɪ ˈ s m ɛ m b ɝ m ə n t
DISMISS,d ɪ ˈ s m ɪ s
DISMISSAL,d ɪ ˈ s m ɪ s ə l
DISMISSALS,d ɪ ˈ s m ɪ s ə l z
DISMISSED,d ɪ ˈ s m ɪ s t
DISMISSES,d ɪ ˈ s m ɪ s ɪ z
DISMISSING,d ɪ ˈ s m ɪ s ɪ ŋ
DISMISSIVE,d ɪ ˈ s m ɪ s ɪ v
DISMORE,ˈ d ɪ s m ɔ ɹ
DISMUKE,ˈ d ɪ s m j uː k
DISMUKES,ˈ d ɪ s m j uː k s
